PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(0, 0)",2,"(0, 1)","[(0, 0), (101, 211)]"
"(101, 211)",2,"(0, 6)","[(0, 0), (199, 117)]"
"(183, 248)",2,"(0, 7)","[(0, 0), (255, 132)]"
"(157, 193)",2,"(1, 2)","[(101, 211), (183, 248)]"
"(167, 182)",2,"(2, 5)","[(183, 248), (187, 188)]"
"(187, 188)",2,"(2, 7)","[(183, 248), (255, 132)]"
"(199, 117)",2,"(6, 7)","[(199, 117), (255, 132)]"
"(255, 132)",3,"(0, 1, 2)","[(0, 0), (101, 211), (183, 248)]"
,3,"(0, 1, 3)","[(0, 0), (101, 211), (157, 193)]"
,3,"(0, 1, 6)","[(0, 0), (101, 211), (199, 117)]"
,3,"(0, 6, 7)","[(0, 0), (199, 117), (255, 132)]"
,3,"(1, 2, 3)","[(101, 211), (183, 248), (157, 193)]"
,3,"(1, 2, 5)","[(101, 211), (183, 248), (187, 188)]"
,3,"(2, 3, 5)","[(183, 248), (157, 193), (187, 188)]"
,3,"(2, 5, 7)","[(183, 248), (187, 188), (255, 132)]"
,3,"(2, 6, 7)","[(183, 248), (199, 117), (255, 132)]"
,3,"(5, 6, 7)","[(187, 188), (199, 117), (255, 132)]"
,4,"(0, 1, 2, 3)","[(0, 0), (101, 211), (183, 248), (157, 193)]"
,4,"(0, 1, 3, 4)","[(0, 0), (101, 211), (157, 193), (167, 182)]"
,4,"(0, 1, 3, 6)","[(0, 0), (101, 211), (157, 193), (199, 117)]"
,4,"(0, 1, 4, 6)","[(0, 0), (101, 211), (167, 182), (199, 117)]"
,4,"(0, 1, 6, 7)","[(0, 0), (101, 211), (199, 117), (255, 132)]"
,4,"(0, 4, 6, 7)","[(0, 0), (167, 182), (199, 117), (255, 132)]"
,4,"(0, 5, 6, 7)","[(0, 0), (187, 188), (199, 117), (255, 132)]"
