PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(72, 250)",2,"(0, 1)","[(72, 250), (255, 79)]"
"(255, 79)",2,"(0, 3)","[(72, 250), (154, 118)]"
"(196, 74)",2,"(0, 5)","[(72, 250), (57, 108)]"
"(154, 118)",2,"(0, 6)","[(72, 250), (39, 94)]"
"(153, 100)",2,"(0, 7)","[(72, 250), (0, 0)]"
"(57, 108)",2,"(1, 2)","[(255, 79), (196, 74)]"
"(39, 94)",2,"(1, 7)","[(255, 79), (0, 0)]"
"(0, 0)",2,"(2, 7)","[(196, 74), (0, 0)]"
,2,"(6, 7)","[(39, 94), (0, 0)]"
,3,"(0, 1, 2)","[(72, 250), (255, 79), (196, 74)]"
,3,"(0, 1, 3)","[(72, 250), (255, 79), (154, 118)]"
,3,"(0, 3, 4)","[(72, 250), (154, 118), (153, 100)]"
,3,"(0, 3, 5)","[(72, 250), (154, 118), (57, 108)]"
,3,"(0, 5, 6)","[(72, 250), (57, 108), (39, 94)]"
,3,"(0, 6, 7)","[(72, 250), (39, 94), (0, 0)]"
,3,"(1, 2, 3)","[(255, 79), (196, 74), (154, 118)]"
,3,"(1, 2, 4)","[(255, 79), (196, 74), (153, 100)]"
,3,"(1, 2, 7)","[(255, 79), (196, 74), (0, 0)]"
,3,"(2, 6, 7)","[(196, 74), (39, 94), (0, 0)]"
,3,"(5, 6, 7)","[(57, 108), (39, 94), (0, 0)]"
,4,"(0, 1, 2, 3)","[(72, 250), (255, 79), (196, 74), (154, 118)]"
,4,"(0, 1, 3, 4)","[(72, 250), (255, 79), (154, 118), (153, 100)]"
,4,"(0, 3, 4, 5)","[(72, 250), (154, 118), (153, 100), (57, 108)]"
,4,"(0, 3, 5, 6)","[(72, 250), (154, 118), (57, 108), (39, 94)]"
,4,"(0, 5, 6, 7)","[(72, 250), (57, 108), (39, 94), (0, 0)]"
