PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(0, 0)",2,"(0, 1)","[(0, 0), (119, 252)]"
"(119, 252)",2,"(0, 5)","[(0, 0), (57, 18)]"
"(138, 179)",2,"(0, 7)","[(0, 0), (243, 6)]"
"(100, 86)",2,"(1, 2)","[(119, 252), (138, 179)]"
"(145, 92)",2,"(1, 7)","[(119, 252), (243, 6)]"
"(57, 18)",2,"(2, 7)","[(138, 179), (243, 6)]"
"(132, 22)",2,"(4, 7)","[(145, 92), (243, 6)]"
"(243, 6)",2,"(6, 7)","[(132, 22), (243, 6)]"
,3,"(0, 1, 2)","[(0, 0), (119, 252), (138, 179)]"
,3,"(0, 1, 5)","[(0, 0), (119, 252), (57, 18)]"
,3,"(0, 3, 5)","[(0, 0), (100, 86), (57, 18)]"
,3,"(0, 5, 6)","[(0, 0), (57, 18), (132, 22)]"
,3,"(0, 5, 7)","[(0, 0), (57, 18), (243, 6)]"
,3,"(0, 6, 7)","[(0, 0), (132, 22), (243, 6)]"
,3,"(1, 2, 3)","[(119, 252), (138, 179), (100, 86)]"
,3,"(1, 2, 4)","[(119, 252), (138, 179), (145, 92)]"
,3,"(1, 2, 7)","[(119, 252), (138, 179), (243, 6)]"
,3,"(2, 4, 7)","[(138, 179), (145, 92), (243, 6)]"
,3,"(4, 6, 7)","[(145, 92), (132, 22), (243, 6)]"
,3,"(5, 6, 7)","[(57, 18), (132, 22), (243, 6)]"
,4,"(0, 1, 2, 3)","[(0, 0), (119, 252), (138, 179), (100, 86)]"
,4,"(0, 1, 2, 5)","[(0, 0), (119, 252), (138, 179), (57, 18)]"
,4,"(0, 1, 3, 5)","[(0, 0), (119, 252), (100, 86), (57, 18)]"
,4,"(0, 3, 5, 6)","[(0, 0), (100, 86), (57, 18), (132, 22)]"
,4,"(0, 5, 6, 7)","[(0, 0), (57, 18), (132, 22), (243, 6)]"
