PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(222, 238)",2,"(0, 1)","[(222, 238), (255, 89)]"
"(255, 89)",2,"(0, 4)","[(222, 238), (219, 190)]"
"(233, 94)",2,"(0, 7)","[(222, 238), (0, 0)]"
"(224, 139)",2,"(1, 2)","[(255, 89), (233, 94)]"
"(219, 190)",2,"(1, 7)","[(255, 89), (0, 0)]"
"(203, 113)",2,"(2, 7)","[(233, 94), (0, 0)]"
"(170, 122)",2,"(6, 7)","[(170, 122), (0, 0)]"
"(0, 0)",3,"(0, 1, 2)","[(222, 238), (255, 89), (233, 94)]"
,3,"(0, 1, 4)","[(222, 238), (255, 89), (219, 190)]"
,3,"(0, 3, 4)","[(222, 238), (224, 139), (219, 190)]"
,3,"(0, 4, 6)","[(222, 238), (219, 190), (170, 122)]"
,3,"(0, 4, 7)","[(222, 238), (219, 190), (0, 0)]"
,3,"(0, 6, 7)","[(222, 238), (170, 122), (0, 0)]"
,3,"(1, 2, 3)","[(255, 89), (233, 94), (224, 139)]"
,3,"(1, 2, 5)","[(255, 89), (233, 94), (203, 113)]"
,3,"(1, 2, 7)","[(255, 89), (233, 94), (0, 0)]"
,3,"(2, 6, 7)","[(233, 94), (170, 122), (0, 0)]"
,3,"(5, 6, 7)","[(203, 113), (170, 122), (0, 0)]"
,4,"(0, 1, 2, 3)","[(222, 238), (255, 89), (233, 94), (224, 139)]"
,4,"(0, 1, 2, 4)","[(222, 238), (255, 89), (233, 94), (219, 190)]"
,4,"(0, 1, 3, 4)","[(222, 238), (255, 89), (224, 139), (219, 190)]"
,4,"(0, 3, 4, 5)","[(222, 238), (224, 139), (219, 190), (203, 113)]"
,4,"(0, 3, 4, 6)","[(222, 238), (224, 139), (219, 190), (170, 122)]"
,4,"(0, 4, 6, 7)","[(222, 238), (219, 190), (170, 122), (0, 0)]"
,4,"(0, 5, 6, 7)","[(222, 238), (203, 113), (170, 122), (0, 0)]"
