PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(141, 249)",2,"(0, 1)","[(141, 249), (255, 57)]"
"(255, 57)",2,"(0, 5)","[(141, 249), (166, 143)]"
"(231, 61)",2,"(0, 7)","[(141, 249), (0, 0)]"
"(205, 101)",2,"(1, 2)","[(255, 57), (231, 61)]"
"(193, 59)",2,"(1, 7)","[(255, 57), (0, 0)]"
"(166, 143)",2,"(4, 7)","[(193, 59), (0, 0)]"
"(175, 78)",2,"(6, 7)","[(175, 78), (0, 0)]"
"(0, 0)",3,"(0, 1, 2)","[(141, 249), (255, 57), (231, 61)]"
,3,"(0, 1, 3)","[(141, 249), (255, 57), (205, 101)]"
,3,"(0, 1, 5)","[(141, 249), (255, 57), (166, 143)]"
,3,"(0, 3, 5)","[(141, 249), (205, 101), (166, 143)]"
,3,"(0, 5, 7)","[(141, 249), (166, 143), (0, 0)]"
,3,"(0, 6, 7)","[(141, 249), (175, 78), (0, 0)]"
,3,"(1, 2, 3)","[(255, 57), (231, 61), (205, 101)]"
,3,"(1, 2, 4)","[(255, 57), (231, 61), (193, 59)]"
,3,"(1, 2, 7)","[(255, 57), (231, 61), (0, 0)]"
,3,"(1, 4, 7)","[(255, 57), (193, 59), (0, 0)]"
,3,"(2, 4, 7)","[(231, 61), (193, 59), (0, 0)]"
,3,"(4, 6, 7)","[(193, 59), (175, 78), (0, 0)]"
,3,"(5, 6, 7)","[(166, 143), (175, 78), (0, 0)]"
,4,"(0, 1, 2, 3)","[(141, 249), (255, 57), (231, 61), (205, 101)]"
,4,"(0, 1, 3, 5)","[(141, 249), (255, 57), (205, 101), (166, 143)]"
,4,"(0, 3, 5, 6)","[(141, 249), (205, 101), (166, 143), (175, 78)]"
,4,"(0, 3, 5, 7)","[(141, 249), (205, 101), (166, 143), (0, 0)]"
,4,"(0, 5, 6, 7)","[(141, 249), (166, 143), (175, 78), (0, 0)]"
