PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(0, 0)",2,"(0, 1)","[(0, 0), (66, 255)]"
"(66, 255)",2,"(0, 5)","[(0, 0), (89, 69)]"
"(83, 221)",2,"(0, 6)","[(0, 0), (146, 6)]"
"(78, 192)",2,"(0, 7)","[(0, 0), (255, 4)]"
"(84, 146)",2,"(1, 2)","[(66, 255), (83, 221)]"
"(89, 69)",2,"(1, 7)","[(66, 255), (255, 4)]"
"(146, 6)",2,"(2, 7)","[(83, 221), (255, 4)]"
"(255, 4)",2,"(6, 7)","[(146, 6), (255, 4)]"
,3,"(0, 1, 2)","[(0, 0), (66, 255), (83, 221)]"
,3,"(0, 1, 3)","[(0, 0), (66, 255), (78, 192)]"
,3,"(0, 1, 5)","[(0, 0), (66, 255), (89, 69)]"
,3,"(0, 4, 5)","[(0, 0), (84, 146), (89, 69)]"
,3,"(0, 5, 6)","[(0, 0), (89, 69), (146, 6)]"
,3,"(0, 6, 7)","[(0, 0), (146, 6), (255, 4)]"
,3,"(1, 2, 3)","[(66, 255), (83, 221), (78, 192)]"
,3,"(1, 2, 7)","[(66, 255), (83, 221), (255, 4)]"
,3,"(2, 6, 7)","[(83, 221), (146, 6), (255, 4)]"
,3,"(5, 6, 7)","[(89, 69), (146, 6), (255, 4)]"
,4,"(0, 1, 2, 3)","[(0, 0), (66, 255), (83, 221), (78, 192)]"
,4,"(0, 1, 3, 4)","[(0, 0), (66, 255), (78, 192), (84, 146)]"
,4,"(0, 1, 3, 5)","[(0, 0), (66, 255), (78, 192), (89, 69)]"
,4,"(0, 1, 4, 5)","[(0, 0), (66, 255), (84, 146), (89, 69)]"
,4,"(0, 3, 4, 5)","[(0, 0), (78, 192), (84, 146), (89, 69)]"
,4,"(0, 4, 5, 6)","[(0, 0), (84, 146), (89, 69), (146, 6)]"
,4,"(0, 5, 6, 7)","[(0, 0), (89, 69), (146, 6), (255, 4)]"
