PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(22, 132)",2.0,"(0, 1)","[(22, 132), (24, 152)]",01 - B,10 - B
"(24, 152)",2.0,"(0, 7)","[(22, 132), (234, 13)]",01 - B,10 - B
"(121, 208)",2.0,"(1, 2)","[(24, 152), (121, 208)]",10 - B,01 - B
"(224, 243)",2.0,"(2, 3)","[(121, 208), (224, 243)]",01 - B,10 - B
"(188, 202)",2.0,"(3, 4)","[(224, 243), (188, 202)]",10 - B,01 - B
"(123, 165)",2.0,"(3, 7)","[(224, 243), (234, 13)]",11 - M,00 - M
"(117, 147)",2.0,"(4, 7)","[(188, 202), (234, 13)]",01 - B,10 - B
"(234, 13)",2.0,"(6, 7)","[(117, 147), (234, 13)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(22, 132), (24, 152), (121, 208)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(22, 132), (24, 152), (117, 147)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(22, 132), (24, 152), (234, 13)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(22, 132), (117, 147), (234, 13)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(24, 152), (121, 208), (224, 243)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(121, 208), (224, 243), (188, 202)]",010 - I,101 - I
,3.0,"(3, 4, 7)","[(224, 243), (188, 202), (234, 13)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(188, 202), (117, 147), (234, 13)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(123, 165), (117, 147), (234, 13)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(22, 132), (24, 152), (121, 208), (224, 243)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(22, 132), (24, 152), (121, 208), (123, 165)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(22, 132), (24, 152), (121, 208), (117, 147)]",0100 - I,1011 - I
,4.0,"(0, 1, 5, 6)","[(22, 132), (24, 152), (123, 165), (117, 147)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(22, 132), (24, 152), (117, 147), (234, 13)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(22, 132), (123, 165), (117, 147), (234, 13)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
