PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01011001,10100110,10101010
"(2, 20)",2.0,"(0, 1)","[(2, 20), (79, 192)]",01 - B,01 - B,10 - B,10 - B
"(79, 192)",2.0,"(0, 7)","[(2, 20), (254, 74)]",01 - B,01 - B,10 - B,10 - B
"(125, 236)",2.0,"(1, 2)","[(79, 192), (125, 236)]",10 - B,10 - B,01 - B,01 - B
"(126, 202)",2.0,"(2, 3)","[(125, 236), (126, 202)]",01 - B,01 - B,10 - B,10 - B
"(163, 158)",2.0,"(2, 5)","[(125, 236), (185, 154)]",01 - B,00 - M,11 - M,10 - B
"(185, 154)",2.0,"(2, 7)","[(125, 236), (254, 74)]",01 - B,01 - B,10 - B,10 - B
"(183, 128)",2.0,"(5, 7)","[(185, 154), (254, 74)]",11 - M,01 - B,10 - B,00 - M
"(254, 74)",2.0,"(6, 7)","[(183, 128), (254, 74)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(2, 20), (79, 192), (125, 236)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(2, 20), (79, 192), (126, 202)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 1, 6)","[(2, 20), (79, 192), (183, 128)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 7)","[(2, 20), (79, 192), (254, 74)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(2, 20), (183, 128), (254, 74)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(79, 192), (125, 236), (126, 202)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(125, 236), (126, 202), (185, 154)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(2, 5, 7)","[(125, 236), (185, 154), (254, 74)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(185, 154), (183, 128), (254, 74)]",101 - I,001 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(2, 20), (79, 192), (125, 236), (126, 202)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(2, 20), (79, 192), (126, 202), (163, 158)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 3, 6)","[(2, 20), (79, 192), (126, 202), (183, 128)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(2, 20), (79, 192), (163, 158), (183, 128)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 6, 7)","[(2, 20), (79, 192), (183, 128), (254, 74)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(2, 20), (163, 158), (183, 128), (254, 74)]",0001 - I,0101 - B,1010 - B,1110 - I
,4.0,"(0, 5, 6, 7)","[(2, 20), (185, 154), (183, 128), (254, 74)]",0101 - B,0001 - I,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
