PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011001,01100011,10011100,10100110,10110010
"(135, 28)",2.0,"(0, 1)","[(135, 28), (62, 139)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(62, 139)",2.0,"(0, 4)","[(135, 28), (125, 132)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(80, 158)",2.0,"(0, 6)","[(135, 28), (160, 140)]",00 - M,00 - M,01 - B,10 - B,11 - M,11 - M
"(88, 227)",2.0,"(0, 7)","[(135, 28), (193, 157)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(125, 132)",2.0,"(1, 2)","[(62, 139), (80, 158)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(142, 178)",2.0,"(1, 3)","[(62, 139), (88, 227)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(160, 140)",2.0,"(2, 3)","[(80, 158), (88, 227)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(193, 157)",2.0,"(3, 5)","[(88, 227), (142, 178)]",01 - B,10 - B,00 - M,11 - M,01 - B,10 - B
,2.0,"(3, 7)","[(88, 227), (193, 157)]",01 - B,11 - M,01 - B,10 - B,00 - M,10 - B
,2.0,"(5, 7)","[(142, 178), (193, 157)]",11 - M,01 - B,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(160, 140), (193, 157)]",01 - B,01 - B,11 - M,00 - M,10 - B,10 - B
,3.0,"(0, 1, 2)","[(135, 28), (62, 139), (80, 158)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(135, 28), (62, 139), (125, 132)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(135, 28), (125, 132), (160, 140)]",010 - I,010 - I,001 - I,110 - I,101 - I,101 - I
,3.0,"(0, 6, 7)","[(135, 28), (160, 140), (193, 157)]",001 - I,001 - I,011 - I,100 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(62, 139), (80, 158), (88, 227)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(80, 158), (88, 227), (142, 178)]",001 - I,010 - I,100 - I,011 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(88, 227), (142, 178), (193, 157)]",011 - I,101 - I,001 - I,110 - I,010 - I,100 - I
,3.0,"(5, 6, 7)","[(142, 178), (160, 140), (193, 157)]",101 - I,001 - I,011 - I,100 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(135, 28), (62, 139), (80, 158), (88, 227)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(135, 28), (62, 139), (80, 158), (125, 132)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(135, 28), (62, 139), (125, 132), (160, 140)]",0110 - B,0110 - B,0101 - B,1010 - B,1001 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(135, 28), (125, 132), (160, 140), (193, 157)]",0101 - B,0101 - B,0011 - B,1100 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(135, 28), (142, 178), (160, 140), (193, 157)]",0101 - B,0001 - I,0011 - B,1100 - B,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
