PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,10110010
"(253, 90)",2.0,"(0, 1)","[(253, 90), (12, 42)]",01 - B,10 - B
"(12, 42)",2.0,"(0, 4)","[(253, 90), (231, 94)]",01 - B,10 - B
"(54, 64)",2.0,"(0, 7)","[(253, 90), (175, 214)]",01 - B,10 - B
"(200, 92)",2.0,"(1, 2)","[(12, 42), (54, 64)]",10 - B,01 - B
"(231, 94)",2.0,"(1, 7)","[(12, 42), (175, 214)]",11 - M,00 - M
"(193, 108)",2.0,"(2, 7)","[(54, 64), (175, 214)]",01 - B,10 - B
"(180, 120)",2.0,"(6, 7)","[(180, 120), (175, 214)]",01 - B,10 - B
"(175, 214)",3.0,"(0, 1, 2)","[(253, 90), (12, 42), (54, 64)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(253, 90), (12, 42), (231, 94)]",011 - I,100 - I
,3.0,"(0, 3, 4)","[(253, 90), (200, 92), (231, 94)]",001 - I,110 - I
,3.0,"(0, 4, 7)","[(253, 90), (231, 94), (175, 214)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(253, 90), (180, 120), (175, 214)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(12, 42), (54, 64), (200, 92)]",100 - I,011 - I
,3.0,"(1, 2, 6)","[(12, 42), (54, 64), (180, 120)]",100 - I,011 - I
,3.0,"(1, 2, 7)","[(12, 42), (54, 64), (175, 214)]",101 - I,010 - I
,3.0,"(2, 6, 7)","[(54, 64), (180, 120), (175, 214)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(193, 108), (180, 120), (175, 214)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(253, 90), (12, 42), (54, 64), (200, 92)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(253, 90), (12, 42), (54, 64), (231, 94)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(253, 90), (12, 42), (200, 92), (231, 94)]",0101 - B,1010 - B
,4.0,"(0, 3, 4, 5)","[(253, 90), (200, 92), (231, 94), (193, 108)]",0011 - B,1100 - B
,4.0,"(0, 3, 4, 7)","[(253, 90), (200, 92), (231, 94), (175, 214)]",0011 - B,1100 - B
,4.0,"(0, 4, 5, 7)","[(253, 90), (231, 94), (193, 108), (175, 214)]",0111 - I,1000 - I
,4.0,"(0, 4, 6, 7)","[(253, 90), (231, 94), (180, 120), (175, 214)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(253, 90), (193, 108), (180, 120), (175, 214)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
