PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01100011,10011100
"(104, 19)",2.0,"(0, 1)","[(104, 19), (17, 237)]",01 - B,10 - B
"(17, 237)",2.0,"(0, 6)","[(104, 19), (195, 111)]",01 - B,10 - B
"(103, 189)",2.0,"(0, 7)","[(104, 19), (239, 89)]",01 - B,10 - B
"(111, 188)",2.0,"(1, 2)","[(17, 237), (103, 189)]",11 - M,00 - M
"(118, 173)",2.0,"(1, 3)","[(17, 237), (111, 188)]",10 - B,01 - B
"(192, 117)",2.0,"(2, 3)","[(103, 189), (111, 188)]",10 - B,01 - B
"(195, 111)",2.0,"(3, 7)","[(111, 188), (239, 89)]",01 - B,10 - B
"(239, 89)",2.0,"(5, 7)","[(192, 117), (239, 89)]",01 - B,10 - B
,2.0,"(6, 7)","[(195, 111), (239, 89)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(104, 19), (17, 237), (103, 189)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(104, 19), (17, 237), (118, 173)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(104, 19), (17, 237), (195, 111)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(104, 19), (192, 117), (195, 111)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(104, 19), (195, 111), (239, 89)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(17, 237), (103, 189), (111, 188)]",110 - I,001 - I
,3.0,"(2, 3, 4)","[(103, 189), (111, 188), (118, 173)]",100 - I,011 - I
,3.0,"(2, 3, 7)","[(103, 189), (111, 188), (239, 89)]",101 - I,010 - I
,3.0,"(3, 5, 7)","[(111, 188), (192, 117), (239, 89)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(192, 117), (195, 111), (239, 89)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(104, 19), (17, 237), (103, 189), (111, 188)]",0110 - B,1001 - B
,4.0,"(0, 1, 2, 4)","[(104, 19), (17, 237), (103, 189), (118, 173)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(104, 19), (17, 237), (118, 173), (195, 111)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(104, 19), (17, 237), (192, 117), (195, 111)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(104, 19), (192, 117), (195, 111), (239, 89)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
