PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(248, 228)",2.0,"(0, 1)","[(248, 228), (117, 34)]",01 - B,10 - B
"(117, 34)",2.0,"(0, 3)","[(248, 228), (226, 210)]",01 - B,10 - B
"(104, 79)",2.0,"(0, 7)","[(248, 228), (16, 214)]",01 - B,10 - B
"(226, 210)",2.0,"(1, 2)","[(117, 34), (104, 79)]",10 - B,01 - B
"(194, 191)",2.0,"(1, 7)","[(117, 34), (16, 214)]",11 - M,00 - M
"(168, 185)",2.0,"(2, 7)","[(104, 79), (16, 214)]",01 - B,10 - B
"(101, 161)",2.0,"(6, 7)","[(101, 161), (16, 214)]",01 - B,10 - B
"(16, 214)",3.0,"(0, 1, 2)","[(248, 228), (117, 34), (104, 79)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(248, 228), (117, 34), (226, 210)]",011 - I,100 - I
,3.0,"(0, 3, 4)","[(248, 228), (226, 210), (194, 191)]",010 - I,101 - I
,3.0,"(0, 3, 7)","[(248, 228), (226, 210), (16, 214)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(248, 228), (101, 161), (16, 214)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(117, 34), (104, 79), (226, 210)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(117, 34), (104, 79), (194, 191)]",100 - I,011 - I
,3.0,"(1, 2, 6)","[(117, 34), (104, 79), (101, 161)]",100 - I,011 - I
,3.0,"(1, 2, 7)","[(117, 34), (104, 79), (16, 214)]",101 - I,010 - I
,3.0,"(2, 6, 7)","[(104, 79), (101, 161), (16, 214)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(168, 185), (101, 161), (16, 214)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(248, 228), (117, 34), (104, 79), (226, 210)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(248, 228), (117, 34), (226, 210), (194, 191)]",0110 - B,1001 - B
,4.0,"(0, 3, 4, 5)","[(248, 228), (226, 210), (194, 191), (168, 185)]",0101 - B,1010 - B
,4.0,"(0, 3, 4, 7)","[(248, 228), (226, 210), (194, 191), (16, 214)]",0101 - B,1010 - B
,4.0,"(0, 3, 5, 7)","[(248, 228), (226, 210), (168, 185), (16, 214)]",0111 - I,1000 - I
,4.0,"(0, 3, 6, 7)","[(248, 228), (226, 210), (101, 161), (16, 214)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(248, 228), (168, 185), (101, 161), (16, 214)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
