PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010110,10101001,10110010
"(9, 239)",2.0,"(0, 1)","[(9, 239), (248, 236)]",01 - B,01 - B,10 - B,10 - B
"(248, 236)",2.0,"(0, 5)","[(9, 239), (33, 214)]",01 - B,01 - B,10 - B,10 - B
"(174, 205)",2.0,"(0, 6)","[(9, 239), (28, 203)]",00 - M,01 - B,10 - B,11 - M
"(141, 197)",2.0,"(0, 7)","[(9, 239), (8, 16)]",01 - B,00 - M,11 - M,10 - B
"(100, 207)",2.0,"(1, 2)","[(248, 236), (174, 205)]",10 - B,10 - B,01 - B,01 - B
"(33, 214)",2.0,"(1, 7)","[(248, 236), (8, 16)]",11 - M,10 - B,01 - B,00 - M
"(28, 203)",2.0,"(2, 7)","[(174, 205), (8, 16)]",01 - B,00 - M,11 - M,10 - B
"(8, 16)",2.0,"(3, 7)","[(141, 197), (8, 16)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(28, 203), (8, 16)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(9, 239), (248, 236), (174, 205)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 5)","[(9, 239), (248, 236), (33, 214)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(9, 239), (33, 214), (28, 203)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(9, 239), (28, 203), (8, 16)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(248, 236), (174, 205), (141, 197)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(248, 236), (174, 205), (8, 16)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 3, 7)","[(174, 205), (141, 197), (8, 16)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 6, 7)","[(141, 197), (28, 203), (8, 16)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(33, 214), (28, 203), (8, 16)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(9, 239), (248, 236), (174, 205), (141, 197)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(9, 239), (248, 236), (174, 205), (100, 207)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 2, 5)","[(9, 239), (248, 236), (174, 205), (33, 214)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(9, 239), (248, 236), (100, 207), (33, 214)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(9, 239), (248, 236), (33, 214), (28, 203)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 4, 5, 6)","[(9, 239), (100, 207), (33, 214), (28, 203)]",0110 - B,0011 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(9, 239), (33, 214), (28, 203), (8, 16)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
