PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01011001,10100110,10110001
"(246, 223)",2.0,"(0, 1)","[(246, 223), (242, 105)]",01 - B,01 - B,10 - B,10 - B
"(242, 105)",2.0,"(0, 4)","[(246, 223), (198, 145)]",01 - B,01 - B,10 - B,10 - B
"(218, 113)",2.0,"(0, 6)","[(246, 223), (112, 107)]",01 - B,00 - M,11 - M,10 - B
"(203, 126)",2.0,"(0, 7)","[(246, 223), (9, 33)]",00 - M,01 - B,10 - B,11 - M
"(198, 145)",2.0,"(1, 2)","[(242, 105), (218, 113)]",10 - B,10 - B,01 - B,01 - B
"(86, 60)",2.0,"(1, 5)","[(242, 105), (86, 60)]",11 - M,10 - B,01 - B,00 - M
"(112, 107)",2.0,"(1, 7)","[(242, 105), (9, 33)]",10 - B,11 - M,00 - M,01 - B
"(9, 33)",2.0,"(5, 7)","[(86, 60), (9, 33)]",10 - B,01 - B,10 - B,01 - B
,2.0,"(6, 7)","[(112, 107), (9, 33)]",10 - B,01 - B,10 - B,01 - B
,3.0,"(0, 1, 2)","[(246, 223), (242, 105), (218, 113)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(246, 223), (242, 105), (198, 145)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(246, 223), (203, 126), (198, 145)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 4, 6)","[(246, 223), (198, 145), (112, 107)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(246, 223), (112, 107), (9, 33)]",010 - I,001 - I,110 - I,101 - I
,3.0,"(1, 2, 3)","[(242, 105), (218, 113), (203, 126)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 5)","[(242, 105), (218, 113), (86, 60)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(1, 5, 7)","[(242, 105), (86, 60), (9, 33)]",110 - I,101 - I,010 - I,001 - I
,3.0,"(5, 6, 7)","[(86, 60), (112, 107), (9, 33)]",110 - I,001 - I,110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(246, 223), (242, 105), (218, 113), (203, 126)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(246, 223), (242, 105), (218, 113), (198, 145)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(246, 223), (242, 105), (203, 126), (198, 145)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 2, 3, 4)","[(246, 223), (218, 113), (203, 126), (198, 145)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 3, 4, 6)","[(246, 223), (203, 126), (198, 145), (112, 107)]",0011 - B,0110 - B,1001 - B,1100 - B
,4.0,"(0, 4, 6, 7)","[(246, 223), (198, 145), (112, 107), (9, 33)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(246, 223), (86, 60), (112, 107), (9, 33)]",0110 - B,0001 - I,1110 - I,1001 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
