PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,01010110,10101001,10101010,10101100
"(179, 35)",2.0,"(0, 1)","[(179, 35), (77, 217)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(77, 217)",2.0,"(0, 3)","[(179, 35), (147, 129)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(113, 208)",2.0,"(0, 6)","[(179, 35), (151, 161)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(147, 129)",2.0,"(0, 7)","[(179, 35), (143, 220)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(134, 177)",2.0,"(1, 2)","[(77, 217), (113, 208)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(140, 194)",2.0,"(1, 7)","[(77, 217), (143, 220)]",11 - M,11 - M,10 - B,01 - B,00 - M,00 - M
"(151, 161)",2.0,"(2, 7)","[(113, 208), (143, 220)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(143, 220)",2.0,"(5, 7)","[(140, 194), (143, 220)]",01 - B,11 - M,10 - B,01 - B,00 - M,10 - B
,2.0,"(6, 7)","[(151, 161), (143, 220)]",11 - M,01 - B,10 - B,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(179, 35), (77, 217), (113, 208)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(179, 35), (77, 217), (147, 129)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 3, 6)","[(179, 35), (147, 129), (151, 161)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(179, 35), (151, 161), (143, 220)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(77, 217), (113, 208), (147, 129)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 4)","[(77, 217), (113, 208), (134, 177)]",100 - I,100 - I,100 - I,011 - I,011 - I,011 - I
,3.0,"(1, 2, 7)","[(77, 217), (113, 208), (143, 220)]",101 - I,101 - I,100 - I,011 - I,010 - I,010 - I
,3.0,"(2, 5, 7)","[(113, 208), (140, 194), (143, 220)]",001 - I,011 - I,010 - I,101 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(140, 194), (151, 161), (143, 220)]",011 - I,101 - I,110 - I,001 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(179, 35), (77, 217), (113, 208), (147, 129)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(179, 35), (77, 217), (147, 129), (134, 177)]",0110 - B,0110 - B,0110 - B,1001 - B,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(179, 35), (77, 217), (147, 129), (151, 161)]",0111 - I,0110 - B,0111 - I,1000 - I,1001 - B,1000 - I
,4.0,"(0, 3, 4, 6)","[(179, 35), (147, 129), (134, 177), (151, 161)]",0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 3, 5, 6)","[(179, 35), (147, 129), (140, 194), (151, 161)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(179, 35), (147, 129), (151, 161), (143, 220)]",0111 - I,0101 - B,0110 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(179, 35), (140, 194), (151, 161), (143, 220)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
