PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01011001,10100110,10101100
"(2, 12)",2.0,"(0, 1)","[(2, 12), (86, 211)]",01 - B,01 - B,10 - B,10 - B
"(86, 211)",2.0,"(0, 7)","[(2, 12), (254, 188)]",01 - B,01 - B,10 - B,10 - B
"(124, 244)",2.0,"(1, 2)","[(86, 211), (124, 244)]",10 - B,10 - B,01 - B,01 - B
"(137, 233)",2.0,"(2, 3)","[(124, 244), (137, 233)]",01 - B,01 - B,10 - B,10 - B
"(142, 208)",2.0,"(2, 7)","[(124, 244), (254, 188)]",01 - B,01 - B,10 - B,10 - B
"(189, 210)",2.0,"(5, 7)","[(189, 210), (254, 188)]",01 - B,01 - B,10 - B,10 - B
"(200, 200)",2.0,"(6, 7)","[(200, 200), (254, 188)]",11 - M,01 - B,10 - B,00 - M
"(254, 188)",3.0,"(0, 1, 2)","[(2, 12), (86, 211), (124, 244)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(2, 12), (86, 211), (142, 208)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 7)","[(2, 12), (86, 211), (254, 188)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(2, 12), (200, 200), (254, 188)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(86, 211), (124, 244), (137, 233)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(124, 244), (137, 233), (189, 210)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(124, 244), (137, 233), (254, 188)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 5, 7)","[(124, 244), (189, 210), (254, 188)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(189, 210), (200, 200), (254, 188)]",011 - I,001 - I,110 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(2, 12), (86, 211), (124, 244), (137, 233)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(2, 12), (86, 211), (124, 244), (142, 208)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 3, 4)","[(2, 12), (86, 211), (137, 233), (142, 208)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 4, 6)","[(2, 12), (86, 211), (142, 208), (200, 200)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(2, 12), (86, 211), (142, 208), (254, 188)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(2, 12), (86, 211), (200, 200), (254, 188)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(2, 12), (142, 208), (200, 200), (254, 188)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(2, 12), (189, 210), (200, 200), (254, 188)]",0011 - B,0001 - I,1110 - I,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
