PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(254, 39)",2.0,"(0, 1)","[(254, 39), (0, 37)]",01 - B,01 - B,10 - B,10 - B
"(0, 37)",2.0,"(0, 3)","[(254, 39), (130, 63)]",01 - B,01 - B,10 - B,10 - B
"(21, 77)",2.0,"(0, 6)","[(254, 39), (152, 134)]",01 - B,01 - B,10 - B,10 - B
"(130, 63)",2.0,"(0, 7)","[(254, 39), (74, 216)]",01 - B,00 - M,11 - M,10 - B
"(115, 115)",2.0,"(1, 2)","[(0, 37), (21, 77)]",10 - B,10 - B,01 - B,01 - B
"(116, 124)",2.0,"(1, 7)","[(0, 37), (74, 216)]",11 - M,10 - B,01 - B,00 - M
"(152, 134)",2.0,"(2, 7)","[(21, 77), (74, 216)]",01 - B,00 - M,11 - M,10 - B
"(74, 216)",2.0,"(5, 7)","[(116, 124), (74, 216)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(152, 134), (74, 216)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(254, 39), (0, 37), (21, 77)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(254, 39), (0, 37), (130, 63)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 6)","[(254, 39), (130, 63), (152, 134)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(254, 39), (116, 124), (152, 134)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(254, 39), (152, 134), (74, 216)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(0, 37), (21, 77), (130, 63)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(0, 37), (21, 77), (74, 216)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(21, 77), (116, 124), (74, 216)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(116, 124), (152, 134), (74, 216)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(254, 39), (0, 37), (21, 77), (130, 63)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(254, 39), (0, 37), (130, 63), (115, 115)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(254, 39), (0, 37), (130, 63), (152, 134)]",0111 - I,0111 - I,1000 - I,1000 - I
,4.0,"(0, 3, 4, 6)","[(254, 39), (130, 63), (115, 115), (152, 134)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 5, 6)","[(254, 39), (130, 63), (116, 124), (152, 134)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 4, 5, 6)","[(254, 39), (115, 115), (116, 124), (152, 134)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 5, 6, 7)","[(254, 39), (116, 124), (152, 134), (74, 216)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
