PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(181, 65)",2.0,"(0, 1)","[(181, 65), (123, 34)]",01 - B,10 - B
"(123, 34)",2.0,"(0, 7)","[(181, 65), (239, 116)]",01 - B,10 - B
"(23, 69)",2.0,"(1, 2)","[(123, 34), (23, 69)]",10 - B,01 - B
"(98, 190)",2.0,"(2, 3)","[(23, 69), (98, 190)]",01 - B,10 - B
"(105, 222)",2.0,"(2, 4)","[(23, 69), (105, 222)]",00 - M,11 - M
"(176, 132)",2.0,"(3, 4)","[(98, 190), (105, 222)]",10 - B,01 - B
"(206, 121)",2.0,"(4, 7)","[(105, 222), (239, 116)]",01 - B,10 - B
"(239, 116)",2.0,"(6, 7)","[(206, 121), (239, 116)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(181, 65), (123, 34), (23, 69)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(181, 65), (123, 34), (239, 116)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(181, 65), (206, 121), (239, 116)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(123, 34), (23, 69), (98, 190)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(23, 69), (98, 190), (105, 222)]",010 - I,101 - I
,3.0,"(3, 4, 5)","[(98, 190), (105, 222), (176, 132)]",101 - I,010 - I
,3.0,"(3, 4, 7)","[(98, 190), (105, 222), (239, 116)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(105, 222), (206, 121), (239, 116)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(176, 132), (206, 121), (239, 116)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(181, 65), (123, 34), (23, 69), (98, 190)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(181, 65), (123, 34), (23, 69), (176, 132)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(181, 65), (123, 34), (23, 69), (206, 121)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 7)","[(181, 65), (123, 34), (23, 69), (239, 116)]",0101 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(181, 65), (123, 34), (206, 121), (239, 116)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(181, 65), (176, 132), (206, 121), (239, 116)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
