PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(252, 110)",2.0,"(0, 1)","[(252, 110), (3, 43)]",01 - B,10 - B
"(3, 43)",2.0,"(0, 3)","[(252, 110), (228, 115)]",01 - B,10 - B
"(18, 129)",2.0,"(0, 7)","[(252, 110), (25, 213)]",01 - B,10 - B
"(228, 115)",2.0,"(1, 2)","[(3, 43), (18, 129)]",10 - B,01 - B
"(109, 158)",2.0,"(1, 7)","[(3, 43), (25, 213)]",11 - M,00 - M
"(87, 175)",2.0,"(2, 7)","[(18, 129), (25, 213)]",01 - B,10 - B
"(119, 165)",2.0,"(5, 7)","[(87, 175), (25, 213)]",11 - M,00 - M
"(25, 213)",2.0,"(6, 7)","[(119, 165), (25, 213)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(252, 110), (3, 43), (18, 129)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(252, 110), (3, 43), (228, 115)]",011 - I,100 - I
,3.0,"(0, 3, 6)","[(252, 110), (228, 115), (119, 165)]",010 - I,101 - I
,3.0,"(0, 3, 7)","[(252, 110), (228, 115), (25, 213)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(252, 110), (119, 165), (25, 213)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(3, 43), (18, 129), (228, 115)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(3, 43), (18, 129), (109, 158)]",100 - I,011 - I
,3.0,"(1, 2, 7)","[(3, 43), (18, 129), (25, 213)]",101 - I,010 - I
,3.0,"(2, 5, 7)","[(18, 129), (87, 175), (25, 213)]",011 - I,100 - I
,3.0,"(5, 6, 7)","[(87, 175), (119, 165), (25, 213)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(252, 110), (3, 43), (18, 129), (228, 115)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(252, 110), (3, 43), (228, 115), (109, 158)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(252, 110), (3, 43), (228, 115), (119, 165)]",0110 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(252, 110), (228, 115), (109, 158), (119, 165)]",0100 - I,1011 - I
,4.0,"(0, 3, 5, 6)","[(252, 110), (228, 115), (87, 175), (119, 165)]",0110 - B,1001 - B
,4.0,"(0, 3, 6, 7)","[(252, 110), (228, 115), (119, 165), (25, 213)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(252, 110), (87, 175), (119, 165), (25, 213)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
