PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011010,01100101,10011010,10100101,10110010
"(61, 27)",2.0,"(0, 1)","[(61, 27), (67, 193)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(67, 193)",2.0,"(0, 6)","[(61, 27), (158, 111)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(109, 207)",2.0,"(0, 7)","[(61, 27), (195, 112)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(144, 229)",2.0,"(1, 2)","[(67, 193), (109, 207)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(132, 172)",2.0,"(1, 3)","[(67, 193), (144, 229)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(146, 174)",2.0,"(2, 3)","[(109, 207), (144, 229)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(158, 111)",2.0,"(3, 5)","[(144, 229), (146, 174)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
"(195, 112)",2.0,"(3, 7)","[(144, 229), (195, 112)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(158, 111), (195, 112)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(61, 27), (67, 193), (109, 207)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(61, 27), (67, 193), (158, 111)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(61, 27), (158, 111), (195, 112)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(67, 193), (109, 207), (144, 229)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(109, 207), (144, 229), (146, 174)]",001 - I,010 - I,101 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(144, 229), (146, 174), (195, 112)]",011 - I,100 - I,011 - I,100 - I,011 - I,100 - I
,3.0,"(3, 6, 7)","[(144, 229), (158, 111), (195, 112)]",001 - I,110 - I,001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(146, 174), (158, 111), (195, 112)]",101 - I,010 - I,101 - I,010 - I,101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(61, 27), (67, 193), (109, 207), (144, 229)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(61, 27), (67, 193), (109, 207), (132, 172)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(61, 27), (67, 193), (109, 207), (158, 111)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 4, 6)","[(61, 27), (67, 193), (132, 172), (158, 111)]",0110 - B,0111 - I,0100 - I,1011 - I,1000 - I,1001 - B
,4.0,"(0, 1, 6, 7)","[(61, 27), (67, 193), (158, 111), (195, 112)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(61, 27), (132, 172), (158, 111), (195, 112)]",0101 - B,0110 - B,0001 - I,1110 - I,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(61, 27), (146, 174), (158, 111), (195, 112)]",0101 - B,0010 - I,0101 - B,1010 - B,1101 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
