PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01011001,10100110
"(70, 155)",2.0,"(0, 1)","[(70, 155), (168, 213)]",01 - B,10 - B
"(168, 213)",2.0,"(0, 4)","[(70, 155), (89, 113)]",01 - B,10 - B
"(195, 77)",2.0,"(0, 7)","[(70, 155), (60, 42)]",01 - B,10 - B
"(172, 78)",2.0,"(1, 2)","[(168, 213), (195, 77)]",10 - B,01 - B
"(89, 113)",2.0,"(2, 3)","[(195, 77), (172, 78)]",01 - B,10 - B
"(100, 67)",2.0,"(2, 7)","[(195, 77), (60, 42)]",01 - B,10 - B
"(80, 59)",2.0,"(6, 7)","[(80, 59), (60, 42)]",01 - B,10 - B
"(60, 42)",3.0,"(0, 1, 2)","[(70, 155), (168, 213), (195, 77)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(70, 155), (168, 213), (89, 113)]",011 - I,100 - I
,3.0,"(0, 4, 7)","[(70, 155), (89, 113), (60, 42)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(70, 155), (80, 59), (60, 42)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(168, 213), (195, 77), (172, 78)]",101 - I,010 - I
,3.0,"(2, 3, 5)","[(195, 77), (172, 78), (100, 67)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(195, 77), (172, 78), (60, 42)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(195, 77), (80, 59), (60, 42)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(100, 67), (80, 59), (60, 42)]",001 - I,110 - I
,4.0,"(0, 1, 2, 3)","[(70, 155), (168, 213), (195, 77), (172, 78)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(70, 155), (168, 213), (195, 77), (89, 113)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(70, 155), (168, 213), (172, 78), (89, 113)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(70, 155), (168, 213), (89, 113), (100, 67)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(70, 155), (168, 213), (89, 113), (80, 59)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 7)","[(70, 155), (168, 213), (89, 113), (60, 42)]",0111 - I,1000 - I
,4.0,"(0, 4, 6, 7)","[(70, 155), (89, 113), (80, 59), (60, 42)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(70, 155), (100, 67), (80, 59), (60, 42)]",0001 - I,1110 - I
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
