PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(243, 169)",2.0,"(0, 1)","[(243, 169), (248, 140)]",01 - B,10 - B
"(248, 140)",2.0,"(0, 7)","[(243, 169), (217, 220)]",01 - B,10 - B
"(8, 11)",2.0,"(1, 2)","[(248, 140), (8, 11)]",10 - B,01 - B
"(24, 187)",2.0,"(2, 3)","[(8, 11), (24, 187)]",01 - B,10 - B
"(72, 209)",2.0,"(3, 4)","[(24, 187), (72, 209)]",10 - B,01 - B
"(160, 197)",2.0,"(3, 6)","[(24, 187), (116, 245)]",10 - B,01 - B
"(116, 245)",2.0,"(4, 6)","[(72, 209), (116, 245)]",00 - M,11 - M
"(217, 220)",2.0,"(6, 7)","[(116, 245), (217, 220)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(243, 169), (248, 140), (8, 11)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(243, 169), (248, 140), (217, 220)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(243, 169), (116, 245), (217, 220)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(248, 140), (8, 11), (24, 187)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(8, 11), (24, 187), (72, 209)]",010 - I,101 - I
,3.0,"(3, 4, 6)","[(24, 187), (72, 209), (116, 245)]",100 - I,011 - I
,3.0,"(4, 6, 7)","[(72, 209), (116, 245), (217, 220)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(160, 197), (116, 245), (217, 220)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(243, 169), (248, 140), (8, 11), (24, 187)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(243, 169), (248, 140), (8, 11), (160, 197)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 7)","[(243, 169), (248, 140), (8, 11), (217, 220)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 7)","[(243, 169), (248, 140), (160, 197), (217, 220)]",0111 - I,1000 - I
,4.0,"(0, 1, 6, 7)","[(243, 169), (248, 140), (116, 245), (217, 220)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(243, 169), (160, 197), (116, 245), (217, 220)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
