PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001011,01010110,10101001,10110100
"(3, 8)",2.0,"(0, 1)","[(3, 8), (174, 248)]",01 - B,01 - B,10 - B,10 - B
"(174, 248)",2.0,"(0, 4)","[(3, 8), (178, 87)]",01 - B,00 - M,11 - M,10 - B
"(191, 179)",2.0,"(0, 6)","[(3, 8), (194, 42)]",01 - B,01 - B,10 - B,10 - B
"(188, 143)",2.0,"(0, 7)","[(3, 8), (253, 16)]",01 - B,00 - M,11 - M,10 - B
"(178, 87)",2.0,"(1, 2)","[(174, 248), (191, 179)]",10 - B,10 - B,01 - B,01 - B
"(208, 54)",2.0,"(1, 7)","[(174, 248), (253, 16)]",11 - M,10 - B,01 - B,00 - M
"(194, 42)",2.0,"(2, 7)","[(191, 179), (253, 16)]",01 - B,00 - M,11 - M,10 - B
"(253, 16)",2.0,"(5, 7)","[(208, 54), (253, 16)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(194, 42), (253, 16)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(3, 8), (174, 248), (191, 179)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(3, 8), (174, 248), (178, 87)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(3, 8), (178, 87), (194, 42)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(3, 8), (208, 54), (194, 42)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(3, 8), (194, 42), (253, 16)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(174, 248), (191, 179), (188, 143)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(174, 248), (191, 179), (253, 16)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(191, 179), (208, 54), (253, 16)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(208, 54), (194, 42), (253, 16)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(3, 8), (174, 248), (191, 179), (188, 143)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(3, 8), (174, 248), (191, 179), (178, 87)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(3, 8), (174, 248), (188, 143), (178, 87)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(3, 8), (174, 248), (178, 87), (194, 42)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 3, 4, 6)","[(3, 8), (188, 143), (178, 87), (194, 42)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 4, 5, 6)","[(3, 8), (178, 87), (208, 54), (194, 42)]",0101 - B,0011 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(3, 8), (208, 54), (194, 42), (253, 16)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
