PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(4, 40)",2.0,"(0, 1)","[(4, 40), (162, 221)]",01 - B,01 - B,10 - B,10 - B
"(162, 221)",2.0,"(0, 3)","[(4, 40), (144, 146)]",01 - B,01 - B,10 - B,10 - B
"(173, 185)",2.0,"(0, 6)","[(4, 40), (157, 67)]",01 - B,01 - B,10 - B,10 - B
"(144, 146)",2.0,"(0, 7)","[(4, 40), (251, 66)]",01 - B,00 - M,11 - M,10 - B
"(152, 119)",2.0,"(1, 2)","[(162, 221), (173, 185)]",10 - B,10 - B,01 - B,01 - B
"(176, 112)",2.0,"(1, 7)","[(162, 221), (251, 66)]",11 - M,10 - B,01 - B,00 - M
"(157, 67)",2.0,"(2, 7)","[(173, 185), (251, 66)]",01 - B,00 - M,11 - M,10 - B
"(251, 66)",2.0,"(5, 7)","[(176, 112), (251, 66)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(157, 67), (251, 66)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(4, 40), (162, 221), (173, 185)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(4, 40), (162, 221), (144, 146)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(4, 40), (144, 146), (152, 119)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 3, 6)","[(4, 40), (144, 146), (157, 67)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(4, 40), (152, 119), (157, 67)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(4, 40), (157, 67), (251, 66)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(162, 221), (173, 185), (144, 146)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(162, 221), (173, 185), (251, 66)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(173, 185), (176, 112), (251, 66)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(176, 112), (157, 67), (251, 66)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(4, 40), (162, 221), (173, 185), (144, 146)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(4, 40), (162, 221), (144, 146), (152, 119)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(4, 40), (144, 146), (152, 119), (157, 67)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(4, 40), (152, 119), (176, 112), (157, 67)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(4, 40), (152, 119), (157, 67), (251, 66)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(4, 40), (176, 112), (157, 67), (251, 66)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
