PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01010110,10101001,10101010
"(97, 251)",2.0,"(0, 1)","[(97, 251), (142, 250)]",01 - B,01 - B,10 - B,10 - B
"(142, 250)",2.0,"(0, 6)","[(97, 251), (104, 230)]",00 - M,01 - B,10 - B,11 - M
"(189, 244)",2.0,"(0, 7)","[(97, 251), (4, 5)]",01 - B,00 - M,11 - M,10 - B
"(251, 226)",2.0,"(1, 2)","[(142, 250), (189, 244)]",10 - B,10 - B,01 - B,01 - B
"(218, 221)",2.0,"(2, 3)","[(189, 244), (251, 226)]",01 - B,01 - B,10 - B,10 - B
"(150, 234)",2.0,"(3, 4)","[(251, 226), (218, 221)]",10 - B,10 - B,01 - B,01 - B
"(104, 230)",2.0,"(3, 7)","[(251, 226), (4, 5)]",11 - M,10 - B,01 - B,00 - M
"(4, 5)",2.0,"(4, 7)","[(218, 221), (4, 5)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(6, 7)","[(104, 230), (4, 5)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(97, 251), (142, 250), (189, 244)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(97, 251), (142, 250), (104, 230)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(97, 251), (104, 230), (4, 5)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(142, 250), (189, 244), (251, 226)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(189, 244), (251, 226), (218, 221)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(3, 4, 7)","[(251, 226), (218, 221), (4, 5)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(4, 6, 7)","[(218, 221), (104, 230), (4, 5)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(150, 234), (104, 230), (4, 5)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(97, 251), (142, 250), (189, 244), (251, 226)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(97, 251), (142, 250), (189, 244), (150, 234)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(97, 251), (142, 250), (189, 244), (104, 230)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 5, 6)","[(97, 251), (142, 250), (150, 234), (104, 230)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 6, 7)","[(97, 251), (142, 250), (104, 230), (4, 5)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(97, 251), (150, 234), (104, 230), (4, 5)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
