PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(118, 241)",2.0,"(0, 1)","[(118, 241), (247, 128)]",01 - B,01 - B,10 - B,10 - B
"(247, 128)",2.0,"(0, 4)","[(118, 241), (114, 148)]",00 - M,00 - M,11 - M,11 - M
"(181, 114)",2.0,"(0, 6)","[(118, 241), (82, 139)]",01 - B,01 - B,10 - B,10 - B
"(164, 127)",2.0,"(0, 7)","[(118, 241), (3, 14)]",01 - B,00 - M,11 - M,10 - B
"(114, 148)",2.0,"(1, 2)","[(247, 128), (181, 114)]",10 - B,10 - B,01 - B,01 - B
"(101, 112)",2.0,"(1, 7)","[(247, 128), (3, 14)]",11 - M,10 - B,01 - B,00 - M
"(82, 139)",2.0,"(2, 7)","[(181, 114), (3, 14)]",01 - B,00 - M,11 - M,10 - B
"(3, 14)",2.0,"(5, 7)","[(101, 112), (3, 14)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(82, 139), (3, 14)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(118, 241), (247, 128), (181, 114)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(118, 241), (247, 128), (164, 127)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 1, 4)","[(118, 241), (247, 128), (114, 148)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 4, 6)","[(118, 241), (114, 148), (82, 139)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(118, 241), (82, 139), (3, 14)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(247, 128), (181, 114), (164, 127)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(247, 128), (181, 114), (3, 14)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(181, 114), (101, 112), (3, 14)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(101, 112), (82, 139), (3, 14)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(118, 241), (247, 128), (181, 114), (164, 127)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(118, 241), (247, 128), (164, 127), (114, 148)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(118, 241), (247, 128), (114, 148), (82, 139)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(118, 241), (164, 127), (114, 148), (82, 139)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(118, 241), (114, 148), (101, 112), (82, 139)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(118, 241), (114, 148), (82, 139), (3, 14)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(118, 241), (101, 112), (82, 139), (3, 14)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
