PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01011001,10100110,10101100
"(238, 148)",2.0,"(0, 1)","[(238, 148), (1, 101)]",01 - B,01 - B,10 - B,10 - B
"(1, 101)",2.0,"(0, 3)","[(238, 148), (134, 135)]",01 - B,01 - B,10 - B,10 - B
"(70, 122)",2.0,"(0, 4)","[(238, 148), (137, 138)]",00 - M,01 - B,10 - B,11 - M
"(134, 135)",2.0,"(0, 6)","[(238, 148), (127, 144)]",01 - B,00 - M,11 - M,10 - B
"(137, 138)",2.0,"(0, 7)","[(238, 148), (68, 150)]",01 - B,01 - B,10 - B,10 - B
"(60, 136)",2.0,"(1, 2)","[(1, 101), (70, 122)]",10 - B,10 - B,01 - B,01 - B
"(127, 144)",2.0,"(1, 5)","[(1, 101), (60, 136)]",10 - B,10 - B,01 - B,01 - B
"(68, 150)",2.0,"(1, 7)","[(1, 101), (68, 150)]",11 - M,11 - M,00 - M,00 - M
,2.0,"(5, 7)","[(60, 136), (68, 150)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(6, 7)","[(127, 144), (68, 150)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(238, 148), (1, 101), (70, 122)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(238, 148), (1, 101), (134, 135)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(238, 148), (134, 135), (137, 138)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 4, 6)","[(238, 148), (137, 138), (127, 144)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(0, 6, 7)","[(238, 148), (127, 144), (68, 150)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(1, 101), (70, 122), (134, 135)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(1, 101), (70, 122), (60, 136)]",100 - I,100 - I,011 - I,011 - I
,3.0,"(1, 5, 7)","[(1, 101), (60, 136), (68, 150)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(5, 6, 7)","[(60, 136), (127, 144), (68, 150)]",011 - I,001 - I,110 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(238, 148), (1, 101), (70, 122), (134, 135)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(238, 148), (1, 101), (134, 135), (137, 138)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 2, 3, 4)","[(238, 148), (70, 122), (134, 135), (137, 138)]",0010 - I,0011 - B,1100 - B,1101 - I
,4.0,"(0, 3, 4, 6)","[(238, 148), (134, 135), (137, 138), (127, 144)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(238, 148), (137, 138), (127, 144), (68, 150)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(238, 148), (60, 136), (127, 144), (68, 150)]",0011 - B,0001 - I,1110 - I,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
