PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,10101100
"(8, 106)",2.0,"(0, 1)","[(8, 106), (105, 185)]",01 - B,10 - B
"(105, 185)",2.0,"(0, 6)","[(8, 106), (96, 83)]",01 - B,10 - B
"(247, 253)",2.0,"(0, 7)","[(8, 106), (235, 3)]",01 - B,10 - B
"(167, 190)",2.0,"(1, 2)","[(105, 185), (247, 253)]",10 - B,01 - B
"(161, 168)",2.0,"(2, 3)","[(247, 253), (167, 190)]",01 - B,10 - B
"(170, 79)",2.0,"(2, 7)","[(247, 253), (235, 3)]",01 - B,10 - B
"(96, 83)",2.0,"(5, 7)","[(170, 79), (235, 3)]",01 - B,10 - B
"(235, 3)",2.0,"(6, 7)","[(96, 83), (235, 3)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(8, 106), (105, 185), (247, 253)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(8, 106), (105, 185), (167, 190)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(8, 106), (105, 185), (96, 83)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(8, 106), (170, 79), (96, 83)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(8, 106), (96, 83), (235, 3)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(105, 185), (247, 253), (167, 190)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(247, 253), (167, 190), (161, 168)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(247, 253), (167, 190), (235, 3)]",011 - I,100 - I
,3.0,"(2, 5, 7)","[(247, 253), (170, 79), (235, 3)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(170, 79), (96, 83), (235, 3)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(8, 106), (105, 185), (247, 253), (167, 190)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(8, 106), (105, 185), (167, 190), (161, 168)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(8, 106), (105, 185), (167, 190), (96, 83)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 6)","[(8, 106), (105, 185), (161, 168), (96, 83)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(8, 106), (105, 185), (170, 79), (96, 83)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(8, 106), (170, 79), (96, 83), (235, 3)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
