PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01010011,01011001,10100110,10101100,10110001
"(237, 246)",2.0,"(0, 1)","[(237, 246), (202, 13)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(202, 13)",2.0,"(0, 4)","[(237, 246), (185, 208)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(146, 149)",2.0,"(0, 6)","[(237, 246), (163, 226)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(157, 175)",2.0,"(0, 7)","[(237, 246), (19, 229)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(185, 208)",2.0,"(1, 2)","[(202, 13), (146, 149)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(95, 171)",2.0,"(1, 5)","[(202, 13), (95, 171)]",11 - M,10 - B,10 - B,01 - B,01 - B,00 - M
"(163, 226)",2.0,"(1, 7)","[(202, 13), (19, 229)]",10 - B,11 - M,11 - M,00 - M,00 - M,01 - B
"(19, 229)",2.0,"(5, 7)","[(95, 171), (19, 229)]",10 - B,01 - B,01 - B,10 - B,10 - B,01 - B
,2.0,"(6, 7)","[(163, 226), (19, 229)]",10 - B,11 - M,01 - B,10 - B,00 - M,01 - B
,3.0,"(0, 1, 2)","[(237, 246), (202, 13), (146, 149)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(237, 246), (202, 13), (185, 208)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(237, 246), (185, 208), (163, 226)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(0, 6, 7)","[(237, 246), (163, 226), (19, 229)]",010 - I,011 - I,001 - I,110 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(202, 13), (146, 149), (157, 175)]",100 - I,101 - I,101 - I,010 - I,010 - I,011 - I
,3.0,"(1, 2, 5)","[(202, 13), (146, 149), (95, 171)]",101 - I,100 - I,100 - I,011 - I,011 - I,010 - I
,3.0,"(1, 5, 7)","[(202, 13), (95, 171), (19, 229)]",110 - I,101 - I,101 - I,010 - I,010 - I,001 - I
,3.0,"(2, 5, 7)","[(146, 149), (95, 171), (19, 229)]",010 - I,001 - I,001 - I,110 - I,110 - I,101 - I
,3.0,"(5, 6, 7)","[(95, 171), (163, 226), (19, 229)]",110 - I,011 - I,001 - I,110 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(237, 246), (202, 13), (146, 149), (157, 175)]",0100 - I,0101 - B,0101 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(237, 246), (202, 13), (146, 149), (185, 208)]",0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(237, 246), (202, 13), (157, 175), (185, 208)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(237, 246), (202, 13), (185, 208), (163, 226)]",0111 - I,0101 - B,0110 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 3, 4, 6)","[(237, 246), (157, 175), (185, 208), (163, 226)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,4.0,"(0, 4, 6, 7)","[(237, 246), (185, 208), (163, 226), (19, 229)]",0110 - B,0011 - B,0101 - B,1010 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(237, 246), (95, 171), (163, 226), (19, 229)]",0110 - B,0011 - B,0001 - I,1110 - I,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
