PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(253, 251)",2.0,"(0, 1)","[(253, 251), (2, 4)]",01 - B,01 - B,10 - B,10 - B
"(2, 4)",2.0,"(0, 3)","[(253, 251), (180, 196)]",01 - B,01 - B,10 - B,10 - B
"(50, 77)",2.0,"(0, 6)","[(253, 251), (154, 198)]",01 - B,01 - B,10 - B,10 - B
"(180, 196)",2.0,"(0, 7)","[(253, 251), (78, 194)]",01 - B,00 - M,11 - M,10 - B
"(162, 191)",2.0,"(1, 2)","[(2, 4), (50, 77)]",10 - B,10 - B,01 - B,01 - B
"(61, 134)",2.0,"(1, 5)","[(2, 4), (61, 134)]",10 - B,11 - M,00 - M,01 - B
"(154, 198)",2.0,"(1, 7)","[(2, 4), (78, 194)]",11 - M,10 - B,01 - B,00 - M
"(78, 194)",2.0,"(5, 7)","[(61, 134), (78, 194)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(154, 198), (78, 194)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(253, 251), (2, 4), (50, 77)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(253, 251), (2, 4), (180, 196)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(253, 251), (180, 196), (162, 191)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 3, 6)","[(253, 251), (180, 196), (154, 198)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(253, 251), (154, 198), (78, 194)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(2, 4), (50, 77), (180, 196)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(2, 4), (50, 77), (61, 134)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 5, 7)","[(2, 4), (61, 134), (78, 194)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 5, 7)","[(50, 77), (61, 134), (78, 194)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(61, 134), (154, 198), (78, 194)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(253, 251), (2, 4), (50, 77), (180, 196)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(253, 251), (2, 4), (180, 196), (162, 191)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(253, 251), (180, 196), (162, 191), (154, 198)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(253, 251), (180, 196), (154, 198), (78, 194)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(253, 251), (162, 191), (154, 198), (78, 194)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(253, 251), (61, 134), (154, 198), (78, 194)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
