PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110110,01001011,01100110,10011001,10110100,11001001
"(108, 222)",2.0,"(0, 1)","[(108, 222), (246, 144)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(246, 144)",2.0,"(0, 2)","[(108, 222), (125, 202)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(125, 202)",2.0,"(0, 6)","[(108, 222), (107, 196)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(160, 128)",2.0,"(0, 7)","[(108, 222), (10, 33)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(126, 181)",2.0,"(1, 2)","[(246, 144), (125, 202)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(118, 132)",2.0,"(1, 3)","[(246, 144), (160, 128)]",01 - B,10 - B,10 - B,01 - B,01 - B,10 - B
"(107, 196)",2.0,"(1, 7)","[(246, 144), (10, 33)]",00 - M,11 - M,10 - B,01 - B,00 - M,11 - M
"(10, 33)",2.0,"(3, 7)","[(160, 128), (10, 33)]",10 - B,01 - B,00 - M,11 - M,10 - B,01 - B
,2.0,"(5, 7)","[(118, 132), (10, 33)]",10 - B,01 - B,10 - B,01 - B,10 - B,01 - B
,2.0,"(6, 7)","[(107, 196), (10, 33)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
,3.0,"(0, 1, 2)","[(108, 222), (246, 144), (125, 202)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(0, 2, 6)","[(108, 222), (125, 202), (107, 196)]",011 - I,001 - I,011 - I,100 - I,110 - I,100 - I
,3.0,"(0, 6, 7)","[(108, 222), (107, 196), (10, 33)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(246, 144), (125, 202), (160, 128)]",011 - I,100 - I,110 - I,001 - I,011 - I,100 - I
,3.0,"(1, 3, 4)","[(246, 144), (160, 128), (126, 181)]",010 - I,101 - I,100 - I,011 - I,010 - I,101 - I
,3.0,"(1, 3, 5)","[(246, 144), (160, 128), (118, 132)]",011 - I,100 - I,101 - I,010 - I,011 - I,100 - I
,3.0,"(1, 3, 7)","[(246, 144), (160, 128), (10, 33)]",010 - I,101 - I,100 - I,011 - I,010 - I,101 - I
,3.0,"(3, 5, 7)","[(160, 128), (118, 132), (10, 33)]",110 - I,001 - I,010 - I,101 - I,110 - I,001 - I
,3.0,"(5, 6, 7)","[(118, 132), (107, 196), (10, 33)]",110 - I,011 - I,110 - I,001 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(108, 222), (246, 144), (125, 202), (160, 128)]",0011 - B,0100 - I,0110 - B,1001 - B,1011 - I,1100 - B
,4.0,"(0, 1, 2, 4)","[(108, 222), (246, 144), (125, 202), (126, 181)]",0010 - I,0101 - B,0110 - B,1001 - B,1010 - B,1101 - I
,4.0,"(0, 1, 2, 6)","[(108, 222), (246, 144), (125, 202), (107, 196)]",0011 - B,0101 - B,0111 - I,1000 - I,1010 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(108, 222), (125, 202), (126, 181), (107, 196)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 2, 6, 7)","[(108, 222), (125, 202), (107, 196), (10, 33)]",0110 - B,0011 - B,0110 - B,1001 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(108, 222), (118, 132), (107, 196), (10, 33)]",0110 - B,0011 - B,0110 - B,1001 - B,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
