PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(197, 232)",2.0,"(0, 1)","[(197, 232), (80, 22)]",01 - B,10 - B
"(80, 22)",2.0,"(0, 3)","[(197, 232), (153, 193)]",01 - B,10 - B
"(86, 115)",2.0,"(0, 7)","[(197, 232), (59, 234)]",01 - B,10 - B
"(153, 193)",2.0,"(1, 2)","[(80, 22), (86, 115)]",10 - B,01 - B
"(74, 140)",2.0,"(1, 4)","[(80, 22), (74, 140)]",10 - B,01 - B
"(100, 200)",2.0,"(1, 7)","[(80, 22), (59, 234)]",11 - M,00 - M
"(110, 208)",2.0,"(4, 7)","[(74, 140), (59, 234)]",01 - B,10 - B
"(59, 234)",2.0,"(5, 7)","[(100, 200), (59, 234)]",11 - M,00 - M
,2.0,"(6, 7)","[(110, 208), (59, 234)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(197, 232), (80, 22), (86, 115)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(197, 232), (80, 22), (153, 193)]",011 - I,100 - I
,3.0,"(0, 3, 6)","[(197, 232), (153, 193), (110, 208)]",010 - I,101 - I
,3.0,"(0, 3, 7)","[(197, 232), (153, 193), (59, 234)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(197, 232), (110, 208), (59, 234)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(80, 22), (86, 115), (153, 193)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(80, 22), (86, 115), (74, 140)]",100 - I,011 - I
,3.0,"(1, 4, 7)","[(80, 22), (74, 140), (59, 234)]",101 - I,010 - I
,3.0,"(2, 4, 7)","[(86, 115), (74, 140), (59, 234)]",001 - I,110 - I
,3.0,"(4, 5, 7)","[(74, 140), (100, 200), (59, 234)]",011 - I,100 - I
,3.0,"(5, 6, 7)","[(100, 200), (110, 208), (59, 234)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(197, 232), (80, 22), (86, 115), (153, 193)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(197, 232), (80, 22), (153, 193), (110, 208)]",0110 - B,1001 - B
,4.0,"(0, 3, 5, 6)","[(197, 232), (153, 193), (100, 200), (110, 208)]",0110 - B,1001 - B
,4.0,"(0, 3, 6, 7)","[(197, 232), (153, 193), (110, 208), (59, 234)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(197, 232), (100, 200), (110, 208), (59, 234)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
