PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01100101,10011010,10101010
"(238, 236)",2.0,"(0, 1)","[(238, 236), (236, 180)]",01 - B,01 - B,10 - B,10 - B
"(236, 180)",2.0,"(0, 5)","[(238, 236), (215, 193)]",01 - B,01 - B,10 - B,10 - B
"(214, 138)",2.0,"(0, 7)","[(238, 236), (17, 40)]",01 - B,01 - B,10 - B,10 - B
"(166, 20)",2.0,"(1, 2)","[(236, 180), (214, 138)]",10 - B,11 - M,00 - M,01 - B
"(210, 160)",2.0,"(1, 3)","[(236, 180), (166, 20)]",11 - M,10 - B,01 - B,00 - M
"(215, 193)",2.0,"(2, 3)","[(214, 138), (166, 20)]",01 - B,10 - B,01 - B,10 - B
"(91, 33)",2.0,"(3, 6)","[(166, 20), (91, 33)]",10 - B,00 - M,11 - M,01 - B
"(17, 40)",2.0,"(3, 7)","[(166, 20), (17, 40)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(6, 7)","[(91, 33), (17, 40)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(238, 236), (236, 180), (214, 138)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 5)","[(238, 236), (236, 180), (215, 193)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 7)","[(238, 236), (215, 193), (17, 40)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(238, 236), (91, 33), (17, 40)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(236, 180), (214, 138), (166, 20)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 3, 6)","[(214, 138), (166, 20), (91, 33)]",010 - I,100 - I,011 - I,101 - I
,3.0,"(3, 6, 7)","[(166, 20), (91, 33), (17, 40)]",101 - I,001 - I,110 - I,010 - I
,3.0,"(5, 6, 7)","[(215, 193), (91, 33), (17, 40)]",101 - I,101 - I,010 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(238, 236), (236, 180), (214, 138), (166, 20)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(238, 236), (236, 180), (214, 138), (210, 160)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 5)","[(238, 236), (236, 180), (214, 138), (215, 193)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 4, 5)","[(238, 236), (236, 180), (210, 160), (215, 193)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 5, 7)","[(238, 236), (236, 180), (215, 193), (17, 40)]",0111 - I,0111 - I,1000 - I,1000 - I
,4.0,"(0, 4, 5, 7)","[(238, 236), (210, 160), (215, 193), (17, 40)]",0011 - B,0011 - B,1100 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(238, 236), (215, 193), (91, 33), (17, 40)]",0101 - B,0101 - B,1010 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
