PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(165, 197)",2.0,"(0, 1)","[(165, 197), (195, 186)]",01 - B,10 - B
"(195, 186)",2.0,"(0, 6)","[(165, 197), (125, 150)]",00 - M,11 - M
"(251, 65)",2.0,"(0, 7)","[(165, 197), (4, 58)]",01 - B,10 - B
"(187, 102)",2.0,"(1, 2)","[(195, 186), (251, 65)]",10 - B,01 - B
"(103, 70)",2.0,"(2, 3)","[(251, 65), (187, 102)]",01 - B,10 - B
"(118, 114)",2.0,"(2, 4)","[(251, 65), (103, 70)]",00 - M,11 - M
"(125, 150)",2.0,"(2, 7)","[(251, 65), (4, 58)]",01 - B,10 - B
"(4, 58)",2.0,"(4, 7)","[(103, 70), (4, 58)]",01 - B,10 - B
,2.0,"(6, 7)","[(125, 150), (4, 58)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(165, 197), (195, 186), (251, 65)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(165, 197), (195, 186), (125, 150)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(165, 197), (125, 150), (4, 58)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(195, 186), (251, 65), (187, 102)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(251, 65), (187, 102), (103, 70)]",010 - I,101 - I
,3.0,"(2, 4, 7)","[(251, 65), (103, 70), (4, 58)]",001 - I,110 - I
,3.0,"(4, 5, 7)","[(103, 70), (118, 114), (4, 58)]",011 - I,100 - I
,3.0,"(4, 6, 7)","[(103, 70), (125, 150), (4, 58)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(118, 114), (125, 150), (4, 58)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(165, 197), (195, 186), (251, 65), (187, 102)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(165, 197), (195, 186), (251, 65), (125, 150)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 6)","[(165, 197), (195, 186), (187, 102), (125, 150)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 6)","[(165, 197), (195, 186), (118, 114), (125, 150)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(165, 197), (195, 186), (125, 150), (4, 58)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(165, 197), (118, 114), (125, 150), (4, 58)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
