PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,10101100
"(17, 225)",2.0,"(0, 1)","[(17, 225), (137, 216)]",01 - B,10 - B
"(137, 216)",2.0,"(0, 6)","[(17, 225), (27, 188)]",01 - B,10 - B
"(236, 197)",2.0,"(0, 7)","[(17, 225), (31, 40)]",01 - B,10 - B
"(201, 179)",2.0,"(1, 2)","[(137, 216), (236, 197)]",10 - B,01 - B
"(138, 187)",2.0,"(2, 3)","[(236, 197), (201, 179)]",01 - B,10 - B
"(69, 148)",2.0,"(2, 7)","[(236, 197), (31, 40)]",01 - B,10 - B
"(27, 188)",2.0,"(3, 7)","[(201, 179), (31, 40)]",11 - M,00 - M
"(31, 40)",2.0,"(5, 7)","[(69, 148), (31, 40)]",01 - B,10 - B
,2.0,"(6, 7)","[(27, 188), (31, 40)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(17, 225), (137, 216), (236, 197)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(17, 225), (137, 216), (27, 188)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(17, 225), (69, 148), (27, 188)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(17, 225), (27, 188), (31, 40)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(137, 216), (236, 197), (201, 179)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(236, 197), (201, 179), (138, 187)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(236, 197), (201, 179), (31, 40)]",011 - I,100 - I
,3.0,"(3, 5, 7)","[(201, 179), (69, 148), (31, 40)]",101 - I,010 - I
,3.0,"(5, 6, 7)","[(69, 148), (27, 188), (31, 40)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(17, 225), (137, 216), (236, 197), (201, 179)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(17, 225), (137, 216), (236, 197), (138, 187)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 6)","[(17, 225), (137, 216), (236, 197), (27, 188)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(17, 225), (137, 216), (138, 187), (27, 188)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(17, 225), (137, 216), (69, 148), (27, 188)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(17, 225), (69, 148), (27, 188), (31, 40)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
