PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,10110010
"(242, 73)",2.0,"(0, 1)","[(242, 73), (46, 46)]",01 - B,10 - B
"(46, 46)",2.0,"(0, 4)","[(242, 73), (116, 92)]",01 - B,10 - B
"(68, 78)",2.0,"(0, 7)","[(242, 73), (13, 209)]",01 - B,10 - B
"(47, 98)",2.0,"(1, 2)","[(46, 46), (68, 78)]",10 - B,01 - B
"(116, 92)",2.0,"(1, 3)","[(46, 46), (47, 98)]",10 - B,01 - B
"(90, 100)",2.0,"(1, 7)","[(46, 46), (13, 209)]",11 - M,00 - M
"(97, 103)",2.0,"(3, 7)","[(47, 98), (13, 209)]",01 - B,10 - B
"(13, 209)",2.0,"(6, 7)","[(97, 103), (13, 209)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(242, 73), (46, 46), (68, 78)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(242, 73), (46, 46), (116, 92)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(242, 73), (116, 92), (97, 103)]",010 - I,101 - I
,3.0,"(0, 4, 7)","[(242, 73), (116, 92), (13, 209)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(242, 73), (97, 103), (13, 209)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(46, 46), (68, 78), (47, 98)]",100 - I,011 - I
,3.0,"(1, 3, 7)","[(46, 46), (47, 98), (13, 209)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(68, 78), (47, 98), (13, 209)]",001 - I,110 - I
,3.0,"(3, 5, 7)","[(47, 98), (90, 100), (13, 209)]",011 - I,100 - I
,3.0,"(3, 6, 7)","[(47, 98), (97, 103), (13, 209)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(90, 100), (97, 103), (13, 209)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(242, 73), (46, 46), (68, 78), (47, 98)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(242, 73), (46, 46), (68, 78), (116, 92)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(242, 73), (46, 46), (116, 92), (97, 103)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(242, 73), (116, 92), (90, 100), (97, 103)]",0110 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(242, 73), (116, 92), (97, 103), (13, 209)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(242, 73), (90, 100), (97, 103), (13, 209)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
