PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001011,01010110,01100101,10011010,10101001,10110100
"(20, 15)",2.0,"(0, 1)","[(20, 15), (5, 147)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(5, 147)",2.0,"(0, 6)","[(20, 15), (137, 28)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(108, 176)",2.0,"(0, 7)","[(20, 15), (240, 5)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(184, 241)",2.0,"(1, 2)","[(5, 147), (108, 176)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(150, 152)",2.0,"(1, 3)","[(5, 147), (184, 241)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(166, 79)",2.0,"(2, 3)","[(108, 176), (184, 241)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(137, 28)",2.0,"(3, 4)","[(184, 241), (150, 152)]",01 - B,10 - B,00 - M,11 - M,01 - B,10 - B
"(240, 5)",2.0,"(3, 7)","[(184, 241), (240, 5)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(5, 7)","[(166, 79), (240, 5)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
,2.0,"(6, 7)","[(137, 28), (240, 5)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(20, 15), (5, 147), (108, 176)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(20, 15), (5, 147), (137, 28)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(20, 15), (137, 28), (240, 5)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(5, 147), (108, 176), (184, 241)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 4)","[(108, 176), (184, 241), (150, 152)]",001 - I,010 - I,100 - I,011 - I,101 - I,110 - I
,3.0,"(3, 4, 7)","[(184, 241), (150, 152), (240, 5)]",011 - I,100 - I,001 - I,110 - I,011 - I,100 - I
,3.0,"(3, 5, 7)","[(184, 241), (166, 79), (240, 5)]",001 - I,110 - I,011 - I,100 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(166, 79), (137, 28), (240, 5)]",011 - I,110 - I,101 - I,010 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(20, 15), (5, 147), (108, 176), (184, 241)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(20, 15), (5, 147), (108, 176), (150, 152)]",0101 - B,0100 - I,0110 - B,1001 - B,1011 - I,1010 - B
,4.0,"(0, 1, 2, 6)","[(20, 15), (5, 147), (108, 176), (137, 28)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(20, 15), (5, 147), (166, 79), (137, 28)]",0101 - B,0111 - I,0110 - B,1001 - B,1000 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(20, 15), (5, 147), (137, 28), (240, 5)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(20, 15), (166, 79), (137, 28), (240, 5)]",0011 - B,0110 - B,0101 - B,1010 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
