PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(245, 90)",2.0,"(0, 1)","[(245, 90), (243, 80)]",01 - B,10 - B
"(243, 80)",2.0,"(0, 7)","[(245, 90), (116, 176)]",01 - B,10 - B
"(11, 132)",2.0,"(1, 2)","[(243, 80), (11, 132)]",10 - B,01 - B
"(118, 121)",2.0,"(2, 3)","[(11, 132), (118, 121)]",01 - B,10 - B
"(156, 114)",2.0,"(2, 7)","[(11, 132), (116, 176)]",01 - B,10 - B
"(183, 120)",2.0,"(6, 7)","[(126, 165), (116, 176)]",01 - B,10 - B
"(126, 165)",3.0,"(0, 1, 2)","[(245, 90), (243, 80), (11, 132)]",010 - I,101 - I
"(116, 176)",3.0,"(0, 1, 4)","[(245, 90), (243, 80), (156, 114)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(245, 90), (243, 80), (183, 120)]",011 - I,100 - I
,3.0,"(0, 1, 7)","[(245, 90), (243, 80), (116, 176)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(245, 90), (126, 165), (116, 176)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(243, 80), (11, 132), (118, 121)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(11, 132), (118, 121), (156, 114)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(11, 132), (118, 121), (116, 176)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(11, 132), (126, 165), (116, 176)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(183, 120), (126, 165), (116, 176)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(245, 90), (243, 80), (11, 132), (118, 121)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(245, 90), (243, 80), (11, 132), (156, 114)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(245, 90), (243, 80), (118, 121), (156, 114)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(245, 90), (243, 80), (156, 114), (183, 120)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(245, 90), (243, 80), (183, 120), (126, 165)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(245, 90), (243, 80), (183, 120), (116, 176)]",0111 - I,1000 - I
,4.0,"(0, 1, 6, 7)","[(245, 90), (243, 80), (126, 165), (116, 176)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(245, 90), (183, 120), (126, 165), (116, 176)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
