PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(50, 96)",2.0,"(0, 1)","[(50, 96), (97, 249)]",01 - B,10 - B
"(97, 249)",2.0,"(0, 7)","[(50, 96), (205, 6)]",01 - B,10 - B
"(159, 244)",2.0,"(1, 2)","[(97, 249), (159, 244)]",10 - B,01 - B
"(153, 229)",2.0,"(2, 3)","[(159, 244), (153, 229)]",01 - B,10 - B
"(146, 160)",2.0,"(2, 7)","[(159, 244), (205, 6)]",01 - B,10 - B
"(165, 119)",2.0,"(6, 7)","[(175, 114), (205, 6)]",01 - B,10 - B
"(175, 114)",3.0,"(0, 1, 2)","[(50, 96), (97, 249), (159, 244)]",010 - I,101 - I
"(205, 6)",3.0,"(0, 1, 3)","[(50, 96), (97, 249), (153, 229)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(50, 96), (97, 249), (146, 160)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(50, 96), (97, 249), (205, 6)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(50, 96), (165, 119), (205, 6)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(50, 96), (175, 114), (205, 6)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(97, 249), (159, 244), (153, 229)]",101 - I,010 - I
,3.0,"(2, 3, 6)","[(159, 244), (153, 229), (175, 114)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(159, 244), (153, 229), (205, 6)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(159, 244), (175, 114), (205, 6)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(165, 119), (175, 114), (205, 6)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(50, 96), (97, 249), (159, 244), (153, 229)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(50, 96), (97, 249), (153, 229), (146, 160)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(50, 96), (97, 249), (146, 160), (165, 119)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(50, 96), (97, 249), (146, 160), (205, 6)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 7)","[(50, 96), (97, 249), (165, 119), (205, 6)]",0111 - I,1000 - I
,4.0,"(0, 4, 5, 7)","[(50, 96), (146, 160), (165, 119), (205, 6)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(50, 96), (165, 119), (175, 114), (205, 6)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
