PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(33, 49)",2.0,"(0, 1)","[(33, 49), (41, 173)]",01 - B,10 - B
"(41, 173)",2.0,"(0, 5)","[(33, 49), (107, 103)]",01 - B,10 - B
"(80, 251)",2.0,"(0, 6)","[(33, 49), (173, 48)]",00 - M,11 - M
"(87, 186)",2.0,"(0, 7)","[(33, 49), (223, 22)]",01 - B,10 - B
"(83, 164)",2.0,"(1, 2)","[(41, 173), (80, 251)]",10 - B,01 - B
"(107, 103)",2.0,"(2, 3)","[(80, 251), (87, 186)]",01 - B,10 - B
"(173, 48)",2.0,"(2, 7)","[(80, 251), (223, 22)]",01 - B,10 - B
"(223, 22)",2.0,"(6, 7)","[(173, 48), (223, 22)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(33, 49), (41, 173), (80, 251)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(33, 49), (41, 173), (83, 164)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(33, 49), (41, 173), (107, 103)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(33, 49), (107, 103), (173, 48)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(33, 49), (173, 48), (223, 22)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(41, 173), (80, 251), (87, 186)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(80, 251), (87, 186), (83, 164)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(80, 251), (87, 186), (223, 22)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(80, 251), (173, 48), (223, 22)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(107, 103), (173, 48), (223, 22)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(33, 49), (41, 173), (80, 251), (87, 186)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(33, 49), (41, 173), (80, 251), (83, 164)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(33, 49), (41, 173), (87, 186), (83, 164)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(33, 49), (41, 173), (83, 164), (107, 103)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(33, 49), (41, 173), (107, 103), (173, 48)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(33, 49), (107, 103), (173, 48), (223, 22)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
