PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01010011,01011001,10100110,10101100,10110001
"(59, 3)",2.0,"(0, 1)","[(59, 3), (145, 252)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(145, 252)",2.0,"(0, 4)","[(59, 3), (108, 63)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(158, 154)",2.0,"(0, 6)","[(59, 3), (134, 10)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(147, 122)",2.0,"(0, 7)","[(59, 3), (197, 5)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(108, 63)",2.0,"(1, 2)","[(145, 252), (158, 154)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(157, 112)",2.0,"(1, 7)","[(145, 252), (197, 5)]",10 - B,11 - M,11 - M,00 - M,00 - M,01 - B
"(134, 10)",2.0,"(2, 7)","[(158, 154), (197, 5)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(197, 5)",2.0,"(5, 7)","[(157, 112), (197, 5)]",10 - B,01 - B,01 - B,10 - B,10 - B,01 - B
,2.0,"(6, 7)","[(134, 10), (197, 5)]",10 - B,11 - M,01 - B,10 - B,00 - M,01 - B
,3.0,"(0, 1, 2)","[(59, 3), (145, 252), (158, 154)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(59, 3), (145, 252), (108, 63)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(59, 3), (108, 63), (134, 10)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(0, 6, 7)","[(59, 3), (134, 10), (197, 5)]",010 - I,011 - I,001 - I,110 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(145, 252), (158, 154), (147, 122)]",100 - I,101 - I,101 - I,010 - I,010 - I,011 - I
,3.0,"(1, 2, 5)","[(145, 252), (158, 154), (157, 112)]",101 - I,100 - I,100 - I,011 - I,011 - I,010 - I
,3.0,"(1, 2, 7)","[(145, 252), (158, 154), (197, 5)]",100 - I,101 - I,101 - I,010 - I,010 - I,011 - I
,3.0,"(2, 5, 7)","[(158, 154), (157, 112), (197, 5)]",010 - I,001 - I,001 - I,110 - I,110 - I,101 - I
,3.0,"(5, 6, 7)","[(157, 112), (134, 10), (197, 5)]",110 - I,011 - I,001 - I,110 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(59, 3), (145, 252), (158, 154), (147, 122)]",0100 - I,0101 - B,0101 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(59, 3), (145, 252), (158, 154), (108, 63)]",0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(59, 3), (145, 252), (147, 122), (108, 63)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(59, 3), (145, 252), (108, 63), (134, 10)]",0111 - I,0101 - B,0110 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 3, 4, 6)","[(59, 3), (147, 122), (108, 63), (134, 10)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,4.0,"(0, 4, 6, 7)","[(59, 3), (108, 63), (134, 10), (197, 5)]",0110 - B,0011 - B,0101 - B,1010 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(59, 3), (157, 112), (134, 10), (197, 5)]",0110 - B,0011 - B,0001 - I,1110 - I,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
