PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01011010,01100101,10011010,10100101
"(142, 15)",2.0,"(0, 1)","[(142, 15), (25, 217)]",01 - B,01 - B,10 - B,10 - B
"(25, 217)",2.0,"(0, 6)","[(142, 15), (215, 88)]",01 - B,00 - M,11 - M,10 - B
"(61, 211)",2.0,"(0, 7)","[(142, 15), (231, 94)]",00 - M,01 - B,10 - B,11 - M
"(81, 244)",2.0,"(1, 2)","[(25, 217), (61, 211)]",10 - B,11 - M,00 - M,01 - B
"(105, 191)",2.0,"(1, 3)","[(25, 217), (81, 244)]",11 - M,10 - B,01 - B,00 - M
"(114, 194)",2.0,"(2, 3)","[(61, 211), (81, 244)]",01 - B,10 - B,01 - B,10 - B
"(215, 88)",2.0,"(3, 5)","[(81, 244), (114, 194)]",10 - B,01 - B,10 - B,01 - B
"(231, 94)",2.0,"(3, 7)","[(81, 244), (231, 94)]",10 - B,01 - B,10 - B,01 - B
,2.0,"(6, 7)","[(215, 88), (231, 94)]",10 - B,01 - B,10 - B,01 - B
,3.0,"(0, 1, 2)","[(142, 15), (25, 217), (61, 211)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 6)","[(142, 15), (25, 217), (215, 88)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(142, 15), (215, 88), (231, 94)]",010 - I,001 - I,110 - I,101 - I
,3.0,"(1, 2, 3)","[(25, 217), (61, 211), (81, 244)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 3, 5)","[(61, 211), (81, 244), (114, 194)]",010 - I,101 - I,010 - I,101 - I
,3.0,"(3, 4, 5)","[(81, 244), (105, 191), (114, 194)]",110 - I,001 - I,110 - I,001 - I
,3.0,"(3, 5, 7)","[(81, 244), (114, 194), (231, 94)]",100 - I,011 - I,100 - I,011 - I
,3.0,"(3, 6, 7)","[(81, 244), (215, 88), (231, 94)]",110 - I,001 - I,110 - I,001 - I
,3.0,"(5, 6, 7)","[(114, 194), (215, 88), (231, 94)]",010 - I,101 - I,010 - I,101 - I
,4.0,"(0, 1, 2, 3)","[(142, 15), (25, 217), (61, 211), (81, 244)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(142, 15), (25, 217), (61, 211), (105, 191)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(142, 15), (25, 217), (61, 211), (215, 88)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(142, 15), (25, 217), (215, 88), (231, 94)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(142, 15), (105, 191), (215, 88), (231, 94)]",0110 - B,0001 - I,1110 - I,1001 - B
,4.0,"(0, 5, 6, 7)","[(142, 15), (114, 194), (215, 88), (231, 94)]",0010 - I,0101 - B,1010 - B,1101 - I
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
