PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(252, 66)",2.0,"(0, 1)","[(252, 66), (254, 55)]",01 - B,10 - B
"(254, 55)",2.0,"(0, 7)","[(252, 66), (118, 201)]",01 - B,10 - B
"(0, 131)",2.0,"(1, 2)","[(254, 55), (0, 131)]",10 - B,01 - B
"(23, 140)",2.0,"(2, 3)","[(0, 131), (23, 140)]",01 - B,10 - B
"(171, 106)",2.0,"(2, 7)","[(0, 131), (118, 201)]",01 - B,10 - B
"(213, 89)",2.0,"(3, 7)","[(23, 140), (118, 201)]",11 - M,00 - M
"(164, 136)",2.0,"(6, 7)","[(164, 136), (118, 201)]",01 - B,10 - B
"(118, 201)",3.0,"(0, 1, 2)","[(252, 66), (254, 55), (0, 131)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(252, 66), (254, 55), (213, 89)]",011 - I,100 - I
,3.0,"(0, 1, 7)","[(252, 66), (254, 55), (118, 201)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(252, 66), (164, 136), (118, 201)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(254, 55), (0, 131), (23, 140)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(0, 131), (23, 140), (171, 106)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(0, 131), (23, 140), (118, 201)]",011 - I,100 - I
,3.0,"(3, 6, 7)","[(23, 140), (164, 136), (118, 201)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(171, 106), (164, 136), (118, 201)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(213, 89), (164, 136), (118, 201)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(252, 66), (254, 55), (0, 131), (23, 140)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(252, 66), (254, 55), (0, 131), (213, 89)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(252, 66), (254, 55), (171, 106), (213, 89)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(252, 66), (254, 55), (213, 89), (164, 136)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(252, 66), (254, 55), (213, 89), (118, 201)]",0111 - I,1000 - I
,4.0,"(0, 1, 6, 7)","[(252, 66), (254, 55), (164, 136), (118, 201)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(252, 66), (213, 89), (164, 136), (118, 201)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
