PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00101101,00111001,01001011,01001110,01011010,01100011,01100110,10011001,10011100,10100101,10110001,10110100,11000110,11010010
"(23, 92)",2.0,"(0, 1)","[(23, 92), (134, 178)]",00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M
"(134, 178)",2.0,"(0, 2)","[(23, 92), (113, 147)]",01 - B,01 - B,00 - M,00 - M,00 - M,01 - B,01 - B,10 - B,10 - B,11 - M,11 - M,11 - M,10 - B,10 - B
"(113, 147)",2.0,"(0, 4)","[(23, 92), (105, 116)]",01 - B,01 - B,01 - B,01 - B,01 - B,00 - M,00 - M,11 - M,11 - M,10 - B,10 - B,10 - B,10 - B,10 - B
"(146, 145)",2.0,"(0, 6)","[(23, 92), (123, 97)]",00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M
"(105, 116)",2.0,"(0, 7)","[(23, 92), (226, 79)]",01 - B,01 - B,01 - B,00 - M,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,11 - M,10 - B,10 - B,10 - B
"(147, 114)",2.0,"(1, 2)","[(134, 178), (113, 147)]",01 - B,01 - B,10 - B,10 - B,10 - B,11 - M,11 - M,00 - M,00 - M,01 - B,01 - B,01 - B,10 - B,10 - B
"(123, 97)",2.0,"(1, 3)","[(134, 178), (146, 145)]",00 - M,01 - B,10 - B,10 - B,11 - M,10 - B,10 - B,01 - B,01 - B,00 - M,01 - B,01 - B,10 - B,11 - M
"(226, 79)",2.0,"(1, 7)","[(134, 178), (226, 79)]",01 - B,01 - B,11 - M,10 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,01 - B,00 - M,10 - B,10 - B
,2.0,"(3, 7)","[(146, 145), (226, 79)]",01 - B,11 - M,01 - B,00 - M,10 - B,01 - B,00 - M,11 - M,10 - B,01 - B,11 - M,10 - B,00 - M,10 - B
,2.0,"(5, 7)","[(147, 114), (226, 79)]",11 - M,01 - B,01 - B,10 - B,00 - M,01 - B,10 - B,01 - B,10 - B,11 - M,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(123, 97), (226, 79)]",01 - B,01 - B,11 - M,10 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,01 - B,00 - M,10 - B,10 - B
,3.0,"(0, 1, 2)","[(23, 92), (134, 178), (113, 147)]",001 - I,001 - I,010 - I,010 - I,010 - I,011 - I,011 - I,100 - I,100 - I,101 - I,101 - I,101 - I,110 - I,110 - I
,3.0,"(0, 2, 4)","[(23, 92), (113, 147), (105, 116)]",011 - I,011 - I,001 - I,001 - I,001 - I,010 - I,010 - I,101 - I,101 - I,110 - I,110 - I,110 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(23, 92), (105, 116), (123, 97)]",010 - I,010 - I,011 - I,011 - I,011 - I,001 - I,001 - I,110 - I,110 - I,100 - I,100 - I,100 - I,101 - I,101 - I
,3.0,"(0, 6, 7)","[(23, 92), (123, 97), (226, 79)]",001 - I,001 - I,011 - I,010 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,101 - I,100 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(134, 178), (113, 147), (146, 145)]",010 - I,011 - I,100 - I,100 - I,101 - I,110 - I,110 - I,001 - I,001 - I,010 - I,011 - I,011 - I,100 - I,101 - I
,3.0,"(1, 3, 7)","[(134, 178), (146, 145), (226, 79)]",001 - I,011 - I,101 - I,100 - I,110 - I,101 - I,100 - I,011 - I,010 - I,001 - I,011 - I,010 - I,100 - I,110 - I
,3.0,"(3, 5, 7)","[(146, 145), (147, 114), (226, 79)]",011 - I,101 - I,001 - I,010 - I,100 - I,001 - I,010 - I,101 - I,110 - I,011 - I,101 - I,110 - I,010 - I,100 - I
,3.0,"(5, 6, 7)","[(147, 114), (123, 97), (226, 79)]",101 - I,001 - I,011 - I,110 - I,010 - I,011 - I,110 - I,001 - I,100 - I,101 - I,001 - I,100 - I,110 - I,010 - I
