PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01100101,10011010
"(247, 183)",2.0,"(0, 1)","[(247, 183), (52, 9)]",01 - B,10 - B
"(52, 9)",2.0,"(0, 5)","[(247, 183), (132, 223)]",01 - B,10 - B
"(42, 200)",2.0,"(0, 7)","[(247, 183), (118, 247)]",01 - B,10 - B
"(9, 233)",2.0,"(1, 2)","[(52, 9), (42, 200)]",11 - M,00 - M
"(119, 216)",2.0,"(1, 3)","[(52, 9), (9, 233)]",10 - B,01 - B
"(132, 223)",2.0,"(2, 3)","[(42, 200), (9, 233)]",10 - B,01 - B
"(102, 241)",2.0,"(3, 6)","[(9, 233), (102, 241)]",00 - M,11 - M
"(118, 247)",2.0,"(3, 7)","[(9, 233), (118, 247)]",01 - B,10 - B
,2.0,"(6, 7)","[(102, 241), (118, 247)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(247, 183), (52, 9), (42, 200)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(247, 183), (52, 9), (119, 216)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(247, 183), (52, 9), (132, 223)]",011 - I,100 - I
,3.0,"(0, 4, 5)","[(247, 183), (119, 216), (132, 223)]",001 - I,110 - I
,3.0,"(0, 5, 7)","[(247, 183), (132, 223), (118, 247)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(247, 183), (102, 241), (118, 247)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(52, 9), (42, 200), (9, 233)]",110 - I,001 - I
,3.0,"(2, 3, 6)","[(42, 200), (9, 233), (102, 241)]",100 - I,011 - I
,3.0,"(3, 6, 7)","[(9, 233), (102, 241), (118, 247)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(132, 223), (102, 241), (118, 247)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(247, 183), (52, 9), (42, 200), (9, 233)]",0110 - B,1001 - B
,4.0,"(0, 1, 2, 4)","[(247, 183), (52, 9), (42, 200), (119, 216)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(247, 183), (52, 9), (119, 216), (132, 223)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 7)","[(247, 183), (119, 216), (132, 223), (118, 247)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(247, 183), (132, 223), (102, 241), (118, 247)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
