PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(255, 65)",2.0,"(0, 1)","[(255, 65), (0, 52)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(0, 52)",2.0,"(0, 3)","[(255, 65), (179, 71)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(31, 64)",2.0,"(0, 6)","[(255, 65), (128, 148)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(179, 71)",2.0,"(0, 7)","[(255, 65), (65, 203)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(157, 85)",2.0,"(1, 2)","[(0, 52), (31, 64)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(41, 121)",2.0,"(1, 5)","[(0, 52), (41, 121)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(128, 148)",2.0,"(1, 7)","[(0, 52), (65, 203)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
"(65, 203)",2.0,"(5, 7)","[(41, 121), (65, 203)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(128, 148), (65, 203)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(255, 65), (0, 52), (31, 64)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(255, 65), (0, 52), (179, 71)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(255, 65), (179, 71), (157, 85)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 3, 6)","[(255, 65), (179, 71), (128, 148)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(255, 65), (128, 148), (65, 203)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(0, 52), (31, 64), (179, 71)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(0, 52), (31, 64), (41, 121)]",100 - I,101 - I,100 - I,011 - I,010 - I,011 - I
,3.0,"(1, 5, 7)","[(0, 52), (41, 121), (65, 203)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(41, 121), (128, 148), (65, 203)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(255, 65), (0, 52), (31, 64), (179, 71)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(255, 65), (0, 52), (179, 71), (157, 85)]",0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B
,4.0,"(0, 2, 3, 4)","[(255, 65), (31, 64), (179, 71), (157, 85)]",0010 - I,0010 - I,0011 - B,1100 - B,1101 - I,1101 - I
,4.0,"(0, 3, 4, 6)","[(255, 65), (179, 71), (157, 85), (128, 148)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(255, 65), (179, 71), (128, 148), (65, 203)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(255, 65), (157, 85), (128, 148), (65, 203)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(255, 65), (41, 121), (128, 148), (65, 203)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
