PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01011001,10100110,10101100
"(252, 155)",2.0,"(0, 1)","[(252, 155), (219, 81)]",01 - B,01 - B,10 - B,10 - B
"(219, 81)",2.0,"(0, 6)","[(252, 155), (131, 200)]",01 - B,00 - M,11 - M,10 - B
"(3, 11)",2.0,"(0, 7)","[(252, 155), (61, 245)]",01 - B,01 - B,10 - B,10 - B
"(64, 164)",2.0,"(1, 2)","[(219, 81), (3, 11)]",10 - B,10 - B,01 - B,01 - B
"(105, 183)",2.0,"(2, 3)","[(3, 11), (64, 164)]",01 - B,01 - B,10 - B,10 - B
"(65, 203)",2.0,"(2, 7)","[(3, 11), (61, 245)]",01 - B,01 - B,10 - B,10 - B
"(131, 200)",2.0,"(5, 7)","[(65, 203), (61, 245)]",01 - B,01 - B,10 - B,10 - B
"(61, 245)",2.0,"(6, 7)","[(131, 200), (61, 245)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(252, 155), (219, 81), (3, 11)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(252, 155), (219, 81), (131, 200)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(252, 155), (131, 200), (61, 245)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(219, 81), (3, 11), (64, 164)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(3, 11), (64, 164), (65, 203)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(3, 11), (64, 164), (61, 245)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 5, 7)","[(3, 11), (65, 203), (61, 245)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(3, 5, 7)","[(64, 164), (65, 203), (61, 245)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(5, 6, 7)","[(65, 203), (131, 200), (61, 245)]",011 - I,001 - I,110 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(252, 155), (219, 81), (3, 11), (64, 164)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(252, 155), (219, 81), (3, 11), (105, 183)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 6)","[(252, 155), (219, 81), (3, 11), (131, 200)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 4, 6)","[(252, 155), (219, 81), (105, 183), (131, 200)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(252, 155), (219, 81), (131, 200), (61, 245)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(252, 155), (105, 183), (131, 200), (61, 245)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(252, 155), (65, 203), (131, 200), (61, 245)]",0011 - B,0001 - I,1110 - I,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
