PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(23, 180)",2.0,"(0, 1)","[(23, 180), (106, 235)]",01 - B,10 - B
"(106, 235)",2.0,"(0, 5)","[(23, 180), (79, 184)]",01 - B,10 - B
"(232, 246)",2.0,"(0, 7)","[(23, 180), (62, 9)]",01 - B,10 - B
"(178, 205)",2.0,"(1, 2)","[(106, 235), (232, 246)]",10 - B,01 - B
"(159, 196)",2.0,"(2, 3)","[(232, 246), (178, 205)]",01 - B,10 - B
"(79, 184)",2.0,"(2, 7)","[(232, 246), (62, 9)]",01 - B,10 - B
"(109, 182)",2.0,"(3, 7)","[(178, 205), (62, 9)]",11 - M,00 - M
"(62, 9)",2.0,"(4, 7)","[(159, 196), (62, 9)]",01 - B,10 - B
,2.0,"(6, 7)","[(109, 182), (62, 9)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(23, 180), (106, 235), (232, 246)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(23, 180), (106, 235), (79, 184)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(23, 180), (79, 184), (62, 9)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(23, 180), (109, 182), (62, 9)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(106, 235), (232, 246), (178, 205)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(232, 246), (178, 205), (159, 196)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(232, 246), (178, 205), (62, 9)]",011 - I,100 - I
,3.0,"(3, 4, 7)","[(178, 205), (159, 196), (62, 9)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(159, 196), (109, 182), (62, 9)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(79, 184), (109, 182), (62, 9)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(23, 180), (106, 235), (232, 246), (178, 205)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(23, 180), (106, 235), (232, 246), (79, 184)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(23, 180), (106, 235), (79, 184), (109, 182)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(23, 180), (106, 235), (79, 184), (62, 9)]",0111 - I,1000 - I
,4.0,"(0, 5, 6, 7)","[(23, 180), (79, 184), (109, 182), (62, 9)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
