PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,01100101,10011010,11001100
"(71, 220)",2.0,"(0, 1)","[(71, 220), (185, 231)]",00 - M,01 - B,10 - B,11 - M
"(185, 231)",2.0,"(0, 2)","[(71, 220), (89, 218)]",01 - B,01 - B,10 - B,10 - B
"(89, 218)",2.0,"(0, 6)","[(71, 220), (83, 200)]",01 - B,00 - M,11 - M,10 - B
"(156, 192)",2.0,"(0, 7)","[(71, 220), (93, 24)]",01 - B,01 - B,10 - B,10 - B
"(134, 182)",2.0,"(1, 2)","[(185, 231), (89, 218)]",01 - B,11 - M,00 - M,10 - B
"(116, 184)",2.0,"(1, 3)","[(185, 231), (156, 192)]",01 - B,10 - B,01 - B,10 - B
"(83, 200)",2.0,"(1, 7)","[(185, 231), (93, 24)]",01 - B,11 - M,00 - M,10 - B
"(93, 24)",2.0,"(3, 7)","[(156, 192), (93, 24)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(4, 7)","[(134, 182), (93, 24)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(5, 7)","[(116, 184), (93, 24)]",01 - B,11 - M,00 - M,10 - B
,2.0,"(6, 7)","[(83, 200), (93, 24)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(71, 220), (185, 231), (89, 218)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 2, 6)","[(71, 220), (89, 218), (83, 200)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(71, 220), (83, 200), (93, 24)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(185, 231), (89, 218), (156, 192)]",011 - I,110 - I,001 - I,100 - I
,3.0,"(1, 3, 4)","[(185, 231), (156, 192), (134, 182)]",010 - I,100 - I,011 - I,101 - I
,3.0,"(1, 3, 7)","[(185, 231), (156, 192), (93, 24)]",011 - I,101 - I,010 - I,100 - I
,3.0,"(3, 4, 7)","[(156, 192), (134, 182), (93, 24)]",101 - I,001 - I,110 - I,010 - I
,3.0,"(4, 5, 7)","[(134, 182), (116, 184), (93, 24)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(116, 184), (83, 200), (93, 24)]",011 - I,101 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(71, 220), (185, 231), (89, 218), (156, 192)]",0011 - B,0110 - B,1001 - B,1100 - B
,4.0,"(0, 1, 2, 6)","[(71, 220), (185, 231), (89, 218), (83, 200)]",0011 - B,0110 - B,1001 - B,1100 - B
,4.0,"(0, 2, 5, 6)","[(71, 220), (89, 218), (116, 184), (83, 200)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 2, 6, 7)","[(71, 220), (89, 218), (83, 200), (93, 24)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(71, 220), (116, 184), (83, 200), (93, 24)]",0011 - B,0101 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
