PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01011001,10100110,10101010
"(223, 231)",2.0,"(0, 1)","[(223, 231), (241, 217)]",01 - B,01 - B,10 - B,10 - B
"(241, 217)",2.0,"(0, 7)","[(223, 231), (15, 196)]",01 - B,01 - B,10 - B,10 - B
"(79, 2)",2.0,"(1, 2)","[(241, 217), (79, 2)]",10 - B,10 - B,01 - B,01 - B
"(110, 136)",2.0,"(2, 3)","[(79, 2), (110, 136)]",01 - B,01 - B,10 - B,10 - B
"(174, 199)",2.0,"(2, 7)","[(79, 2), (15, 196)]",01 - B,01 - B,10 - B,10 - B
"(102, 168)",2.0,"(6, 7)","[(78, 190), (15, 196)]",01 - B,01 - B,10 - B,10 - B
"(78, 190)",3.0,"(0, 1, 2)","[(223, 231), (241, 217), (79, 2)]",010 - I,010 - I,101 - I,101 - I
"(15, 196)",3.0,"(0, 1, 4)","[(223, 231), (241, 217), (174, 199)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 7)","[(223, 231), (241, 217), (15, 196)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(223, 231), (78, 190), (15, 196)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(241, 217), (79, 2), (110, 136)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(79, 2), (110, 136), (102, 168)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(2, 3, 7)","[(79, 2), (110, 136), (15, 196)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 6, 7)","[(79, 2), (78, 190), (15, 196)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(102, 168), (78, 190), (15, 196)]",101 - I,001 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(223, 231), (241, 217), (79, 2), (110, 136)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(223, 231), (241, 217), (79, 2), (174, 199)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 3, 4)","[(223, 231), (241, 217), (110, 136), (174, 199)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 4, 5)","[(223, 231), (241, 217), (174, 199), (102, 168)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(223, 231), (241, 217), (174, 199), (78, 190)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 4, 7)","[(223, 231), (241, 217), (174, 199), (15, 196)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(223, 231), (241, 217), (78, 190), (15, 196)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(223, 231), (174, 199), (78, 190), (15, 196)]",0001 - I,0101 - B,1010 - B,1110 - I
,4.0,"(0, 5, 6, 7)","[(223, 231), (102, 168), (78, 190), (15, 196)]",0101 - B,0001 - I,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
