PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(247, 35)",2.0,"(0, 1)","[(247, 35), (57, 141)]",01 - B,10 - B
"(57, 141)",2.0,"(0, 6)","[(247, 35), (136, 178)]",00 - M,11 - M
"(12, 185)",2.0,"(0, 7)","[(247, 35), (116, 221)]",01 - B,10 - B
"(43, 169)",2.0,"(1, 2)","[(57, 141), (12, 185)]",10 - B,01 - B
"(63, 166)",2.0,"(2, 3)","[(12, 185), (43, 169)]",01 - B,10 - B
"(75, 170)",2.0,"(2, 7)","[(12, 185), (116, 221)]",01 - B,10 - B
"(136, 178)",2.0,"(6, 7)","[(136, 178), (116, 221)]",01 - B,10 - B
"(116, 221)",3.0,"(0, 1, 2)","[(247, 35), (57, 141), (12, 185)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(247, 35), (57, 141), (43, 169)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(247, 35), (57, 141), (63, 166)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(247, 35), (57, 141), (136, 178)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(247, 35), (136, 178), (116, 221)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(57, 141), (12, 185), (43, 169)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(12, 185), (43, 169), (63, 166)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(12, 185), (43, 169), (116, 221)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(12, 185), (136, 178), (116, 221)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(75, 170), (136, 178), (116, 221)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(247, 35), (57, 141), (12, 185), (43, 169)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(247, 35), (57, 141), (43, 169), (63, 166)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(247, 35), (57, 141), (63, 166), (75, 170)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(247, 35), (57, 141), (63, 166), (136, 178)]",0100 - I,1011 - I
,4.0,"(0, 1, 5, 6)","[(247, 35), (57, 141), (75, 170), (136, 178)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(247, 35), (57, 141), (136, 178), (116, 221)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(247, 35), (75, 170), (136, 178), (116, 221)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
