PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,10101001
"(245, 228)",2.0,"(0, 1)","[(245, 228), (37, 18)]",01 - B,10 - B
"(37, 18)",2.0,"(0, 3)","[(245, 228), (157, 211)]",01 - B,10 - B
"(30, 176)",2.0,"(0, 6)","[(245, 228), (106, 229)]",01 - B,10 - B
"(157, 211)",2.0,"(0, 7)","[(245, 228), (2, 238)]",00 - M,11 - M
"(95, 218)",2.0,"(1, 2)","[(37, 18), (30, 176)]",10 - B,01 - B
"(19, 220)",2.0,"(1, 7)","[(37, 18), (2, 238)]",10 - B,01 - B
"(106, 229)",2.0,"(5, 7)","[(19, 220), (2, 238)]",10 - B,01 - B
"(2, 238)",2.0,"(6, 7)","[(106, 229), (2, 238)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(245, 228), (37, 18), (30, 176)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(245, 228), (37, 18), (157, 211)]",011 - I,100 - I
,3.0,"(0, 3, 6)","[(245, 228), (157, 211), (106, 229)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(245, 228), (106, 229), (2, 238)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(37, 18), (30, 176), (157, 211)]",101 - I,010 - I
,3.0,"(1, 2, 5)","[(37, 18), (30, 176), (19, 220)]",101 - I,010 - I
,3.0,"(1, 2, 7)","[(37, 18), (30, 176), (2, 238)]",100 - I,011 - I
,3.0,"(1, 5, 7)","[(37, 18), (19, 220), (2, 238)]",110 - I,001 - I
,3.0,"(2, 5, 7)","[(30, 176), (19, 220), (2, 238)]",010 - I,101 - I
,3.0,"(5, 6, 7)","[(19, 220), (106, 229), (2, 238)]",110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(245, 228), (37, 18), (30, 176), (157, 211)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(245, 228), (37, 18), (157, 211), (95, 218)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(245, 228), (37, 18), (157, 211), (106, 229)]",0111 - I,1000 - I
,4.0,"(0, 3, 4, 6)","[(245, 228), (157, 211), (95, 218), (106, 229)]",0101 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(245, 228), (157, 211), (106, 229), (2, 238)]",0110 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(245, 228), (95, 218), (106, 229), (2, 238)]",0010 - I,1101 - I
,4.0,"(0, 5, 6, 7)","[(245, 228), (19, 220), (106, 229), (2, 238)]",0110 - B,1001 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
