PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(100, 208)",2.0,"(0, 1)","[(100, 208), (126, 209)]",01 - B,01 - B,10 - B,10 - B
"(126, 209)",2.0,"(0, 6)","[(100, 208), (110, 196)]",01 - B,01 - B,10 - B,10 - B
"(156, 204)",2.0,"(0, 7)","[(100, 208), (88, 75)]",01 - B,00 - M,11 - M,10 - B
"(184, 194)",2.0,"(1, 2)","[(126, 209), (156, 204)]",10 - B,10 - B,01 - B,01 - B
"(162, 189)",2.0,"(2, 3)","[(156, 204), (184, 194)]",01 - B,01 - B,10 - B,10 - B
"(134, 190)",2.0,"(3, 4)","[(184, 194), (162, 189)]",10 - B,10 - B,01 - B,01 - B
"(110, 196)",2.0,"(3, 7)","[(184, 194), (88, 75)]",11 - M,10 - B,01 - B,00 - M
"(88, 75)",2.0,"(4, 7)","[(162, 189), (88, 75)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(5, 7)","[(134, 190), (88, 75)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(110, 196), (88, 75)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(100, 208), (126, 209), (156, 204)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(100, 208), (126, 209), (110, 196)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(100, 208), (110, 196), (88, 75)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(126, 209), (156, 204), (184, 194)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(156, 204), (184, 194), (162, 189)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(3, 4, 7)","[(184, 194), (162, 189), (88, 75)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(4, 5, 7)","[(162, 189), (134, 190), (88, 75)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(134, 190), (110, 196), (88, 75)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(100, 208), (126, 209), (156, 204), (184, 194)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(100, 208), (126, 209), (156, 204), (110, 196)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(100, 208), (126, 209), (134, 190), (110, 196)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(100, 208), (126, 209), (110, 196), (88, 75)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(100, 208), (134, 190), (110, 196), (88, 75)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
