PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010011,01011001,10100110,10101100,10110010
"(2, 123)",2.0,"(0, 1)","[(2, 123), (38, 175)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(38, 175)",2.0,"(0, 4)","[(2, 123), (35, 145)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(115, 250)",2.0,"(0, 7)","[(2, 123), (254, 5)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(83, 199)",2.0,"(1, 2)","[(38, 175), (115, 250)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(35, 145)",2.0,"(2, 3)","[(115, 250), (83, 199)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(183, 103)",2.0,"(2, 5)","[(115, 250), (183, 103)]",01 - B,00 - M,00 - M,11 - M,11 - M,10 - B
"(168, 87)",2.0,"(2, 7)","[(115, 250), (254, 5)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(254, 5)",2.0,"(5, 7)","[(183, 103), (254, 5)]",11 - M,01 - B,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(168, 87), (254, 5)]",01 - B,11 - M,01 - B,10 - B,00 - M,10 - B
,3.0,"(0, 1, 2)","[(2, 123), (38, 175), (115, 250)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(2, 123), (38, 175), (35, 145)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 4, 7)","[(2, 123), (35, 145), (254, 5)]",011 - I,001 - I,011 - I,100 - I,110 - I,100 - I
,3.0,"(0, 6, 7)","[(2, 123), (168, 87), (254, 5)]",001 - I,011 - I,001 - I,110 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(38, 175), (115, 250), (83, 199)]",100 - I,101 - I,101 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(115, 250), (83, 199), (183, 103)]",001 - I,010 - I,010 - I,101 - I,101 - I,110 - I
,3.0,"(2, 5, 7)","[(115, 250), (183, 103), (254, 5)]",011 - I,001 - I,001 - I,110 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(183, 103), (168, 87), (254, 5)]",101 - I,011 - I,001 - I,110 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(2, 123), (38, 175), (115, 250), (83, 199)]",0100 - I,0101 - B,0101 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(2, 123), (38, 175), (115, 250), (35, 145)]",0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(2, 123), (38, 175), (83, 199), (35, 145)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(2, 123), (38, 175), (35, 145), (168, 87)]",0110 - B,0101 - B,0110 - B,1001 - B,1010 - B,1001 - B
,4.0,"(0, 1, 4, 7)","[(2, 123), (38, 175), (35, 145), (254, 5)]",0111 - I,0101 - B,0111 - I,1000 - I,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(2, 123), (35, 145), (168, 87), (254, 5)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(2, 123), (183, 103), (168, 87), (254, 5)]",0101 - B,0011 - B,0001 - I,1110 - I,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
