PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00111001,01001110,01100011,10011100,10110001,11000110
"(16, 133)",2.0,"(0, 1)","[(16, 133), (181, 221)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(181, 221)",2.0,"(0, 2)","[(16, 133), (106, 159)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(106, 159)",2.0,"(0, 4)","[(16, 133), (102, 138)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(186, 162)",2.0,"(0, 6)","[(16, 133), (132, 99)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(102, 138)",2.0,"(0, 7)","[(16, 133), (245, 35)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(179, 115)",2.0,"(1, 2)","[(181, 221), (106, 159)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(132, 99)",2.0,"(1, 3)","[(181, 221), (186, 162)]",01 - B,10 - B,10 - B,01 - B,01 - B,10 - B
"(245, 35)",2.0,"(1, 7)","[(181, 221), (245, 35)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
,2.0,"(3, 7)","[(186, 162), (245, 35)]",11 - M,00 - M,01 - B,10 - B,11 - M,00 - M
,2.0,"(5, 7)","[(179, 115), (245, 35)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(132, 99), (245, 35)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
,3.0,"(0, 1, 2)","[(16, 133), (181, 221), (106, 159)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(0, 2, 4)","[(16, 133), (106, 159), (102, 138)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(0, 4, 6)","[(16, 133), (102, 138), (132, 99)]",010 - I,011 - I,001 - I,110 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(16, 133), (132, 99), (245, 35)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(181, 221), (106, 159), (186, 162)]",011 - I,100 - I,110 - I,001 - I,011 - I,100 - I
,3.0,"(1, 3, 5)","[(181, 221), (186, 162), (179, 115)]",010 - I,101 - I,100 - I,011 - I,010 - I,101 - I
,3.0,"(1, 3, 7)","[(181, 221), (186, 162), (245, 35)]",011 - I,100 - I,101 - I,010 - I,011 - I,100 - I
,3.0,"(3, 5, 7)","[(186, 162), (179, 115), (245, 35)]",101 - I,010 - I,001 - I,110 - I,101 - I,010 - I
,3.0,"(5, 6, 7)","[(179, 115), (132, 99), (245, 35)]",001 - I,110 - I,011 - I,100 - I,001 - I,110 - I
,4.0,"(0, 1, 2, 3)","[(16, 133), (181, 221), (106, 159), (186, 162)]",0011 - B,0100 - I,0110 - B,1001 - B,1011 - I,1100 - B
,4.0,"(0, 1, 2, 4)","[(16, 133), (181, 221), (106, 159), (102, 138)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(16, 133), (106, 159), (102, 138), (132, 99)]",0110 - B,0011 - B,0101 - B,1010 - B,1100 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(16, 133), (102, 138), (132, 99), (245, 35)]",0101 - B,0110 - B,0011 - B,1100 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(16, 133), (179, 115), (132, 99), (245, 35)]",0001 - I,0110 - B,0011 - B,1100 - B,1001 - B,1110 - I
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
