PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01011001,10100110
"(231, 182)",2.0,"(0, 1)","[(231, 182), (243, 40)]",01 - B,10 - B
"(243, 40)",2.0,"(0, 7)","[(231, 182), (17, 215)]",01 - B,10 - B
"(13, 48)",2.0,"(1, 2)","[(243, 40), (13, 48)]",10 - B,01 - B
"(21, 102)",2.0,"(2, 3)","[(13, 48), (21, 102)]",01 - B,10 - B
"(61, 120)",2.0,"(2, 7)","[(13, 48), (17, 215)]",01 - B,10 - B
"(30, 112)",2.0,"(3, 7)","[(21, 102), (17, 215)]",11 - M,00 - M
"(78, 132)",2.0,"(5, 7)","[(30, 112), (17, 215)]",01 - B,10 - B
"(17, 215)",2.0,"(6, 7)","[(78, 132), (17, 215)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(231, 182), (243, 40), (13, 48)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(231, 182), (243, 40), (78, 132)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(231, 182), (243, 40), (17, 215)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(231, 182), (78, 132), (17, 215)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(243, 40), (13, 48), (21, 102)]",101 - I,010 - I
,3.0,"(2, 3, 5)","[(13, 48), (21, 102), (30, 112)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(13, 48), (21, 102), (17, 215)]",011 - I,100 - I
,3.0,"(3, 5, 7)","[(21, 102), (30, 112), (17, 215)]",101 - I,010 - I
,3.0,"(5, 6, 7)","[(30, 112), (78, 132), (17, 215)]",001 - I,110 - I
,4.0,"(0, 1, 2, 3)","[(231, 182), (243, 40), (13, 48), (21, 102)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(231, 182), (243, 40), (13, 48), (61, 120)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(231, 182), (243, 40), (13, 48), (78, 132)]",0100 - I,1011 - I
,4.0,"(0, 1, 4, 6)","[(231, 182), (243, 40), (61, 120), (78, 132)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(231, 182), (243, 40), (78, 132), (17, 215)]",0101 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(231, 182), (61, 120), (78, 132), (17, 215)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(231, 182), (30, 112), (78, 132), (17, 215)]",0001 - I,1110 - I
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
