PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01011010,10100101
"(253, 77)",2.0,"(0, 1)","[(253, 77), (2, 110)]",01 - B,10 - B
"(2, 110)",2.0,"(0, 4)","[(253, 77), (201, 93)]",01 - B,10 - B
"(39, 115)",2.0,"(0, 6)","[(253, 77), (191, 147)]",01 - B,10 - B
"(67, 125)",2.0,"(0, 7)","[(253, 77), (170, 178)]",00 - M,11 - M
"(201, 93)",2.0,"(1, 2)","[(2, 110), (39, 115)]",10 - B,01 - B
"(172, 109)",2.0,"(1, 7)","[(2, 110), (170, 178)]",10 - B,01 - B
"(191, 147)",2.0,"(3, 7)","[(67, 125), (170, 178)]",10 - B,01 - B
"(170, 178)",2.0,"(6, 7)","[(191, 147), (170, 178)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(253, 77), (2, 110), (39, 115)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(253, 77), (2, 110), (201, 93)]",011 - I,100 - I
,3.0,"(0, 4, 5)","[(253, 77), (201, 93), (172, 109)]",010 - I,101 - I
,3.0,"(0, 4, 6)","[(253, 77), (201, 93), (191, 147)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(253, 77), (191, 147), (170, 178)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(2, 110), (39, 115), (67, 125)]",101 - I,010 - I
,3.0,"(1, 2, 7)","[(2, 110), (39, 115), (170, 178)]",100 - I,011 - I
,3.0,"(1, 3, 7)","[(2, 110), (67, 125), (170, 178)]",110 - I,001 - I
,3.0,"(3, 6, 7)","[(67, 125), (191, 147), (170, 178)]",110 - I,001 - I
,3.0,"(5, 6, 7)","[(172, 109), (191, 147), (170, 178)]",010 - I,101 - I
,4.0,"(0, 1, 2, 3)","[(253, 77), (2, 110), (39, 115), (67, 125)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(253, 77), (2, 110), (39, 115), (201, 93)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(253, 77), (2, 110), (201, 93), (172, 109)]",0110 - B,1001 - B
,4.0,"(0, 2, 4, 5)","[(253, 77), (39, 115), (201, 93), (172, 109)]",0010 - I,1101 - I
,4.0,"(0, 4, 5, 6)","[(253, 77), (201, 93), (172, 109), (191, 147)]",0101 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(253, 77), (201, 93), (191, 147), (170, 178)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(253, 77), (172, 109), (191, 147), (170, 178)]",0010 - I,1101 - I
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
