PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,10101010,10101100
"(7, 42)",2.0,"(0, 1)","[(7, 42), (58, 184)]",01 - B,01 - B,10 - B,10 - B
"(58, 184)",2.0,"(0, 6)","[(7, 42), (92, 62)]",01 - B,00 - M,11 - M,10 - B
"(119, 251)",2.0,"(0, 7)","[(7, 42), (248, 5)]",01 - B,01 - B,10 - B,10 - B
"(103, 209)",2.0,"(1, 2)","[(58, 184), (119, 251)]",10 - B,10 - B,01 - B,01 - B
"(105, 182)",2.0,"(2, 3)","[(119, 251), (103, 209)]",01 - B,01 - B,10 - B,10 - B
"(126, 146)",2.0,"(2, 7)","[(119, 251), (248, 5)]",01 - B,01 - B,10 - B,10 - B
"(92, 62)",2.0,"(5, 7)","[(126, 146), (248, 5)]",01 - B,11 - M,00 - M,10 - B
"(248, 5)",2.0,"(6, 7)","[(92, 62), (248, 5)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(7, 42), (58, 184), (119, 251)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(7, 42), (58, 184), (103, 209)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 1, 6)","[(7, 42), (58, 184), (92, 62)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(7, 42), (92, 62), (248, 5)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(58, 184), (119, 251), (103, 209)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(119, 251), (103, 209), (105, 182)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(119, 251), (103, 209), (248, 5)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 5, 7)","[(119, 251), (126, 146), (248, 5)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(126, 146), (92, 62), (248, 5)]",011 - I,101 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(7, 42), (58, 184), (119, 251), (103, 209)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(7, 42), (58, 184), (103, 209), (105, 182)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(7, 42), (58, 184), (103, 209), (92, 62)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 4, 6)","[(7, 42), (58, 184), (105, 182), (92, 62)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 5, 6)","[(7, 42), (58, 184), (126, 146), (92, 62)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(7, 42), (58, 184), (92, 62), (248, 5)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(7, 42), (126, 146), (92, 62), (248, 5)]",0011 - B,0101 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
