PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00101101,01010110,10101001,11010010
"(60, 241)",2.0,"(0, 1)","[(60, 241), (194, 251)]",00 - M,01 - B,10 - B,11 - M
"(194, 251)",2.0,"(0, 2)","[(60, 241), (146, 240)]",01 - B,00 - M,11 - M,10 - B
"(146, 240)",2.0,"(0, 5)","[(60, 241), (92, 221)]",01 - B,01 - B,10 - B,10 - B
"(177, 226)",2.0,"(0, 6)","[(60, 241), (82, 212)]",00 - M,01 - B,10 - B,11 - M
"(135, 227)",2.0,"(0, 7)","[(60, 241), (136, 4)]",01 - B,00 - M,11 - M,10 - B
"(92, 221)",2.0,"(1, 2)","[(194, 251), (146, 240)]",01 - B,10 - B,01 - B,10 - B
"(82, 212)",2.0,"(1, 3)","[(194, 251), (177, 226)]",00 - M,11 - M,00 - M,11 - M
"(136, 4)",2.0,"(1, 7)","[(194, 251), (136, 4)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(3, 7)","[(177, 226), (136, 4)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(82, 212), (136, 4)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(60, 241), (194, 251), (146, 240)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(0, 2, 5)","[(60, 241), (146, 240), (92, 221)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(60, 241), (92, 221), (82, 212)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(60, 241), (82, 212), (136, 4)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(194, 251), (146, 240), (177, 226)]",010 - I,101 - I,010 - I,101 - I
,3.0,"(1, 3, 7)","[(194, 251), (177, 226), (136, 4)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(3, 4, 7)","[(177, 226), (135, 227), (136, 4)]",011 - I,100 - I,011 - I,100 - I
,3.0,"(3, 6, 7)","[(177, 226), (82, 212), (136, 4)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(92, 221), (82, 212), (136, 4)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(60, 241), (194, 251), (146, 240), (177, 226)]",0010 - I,0101 - B,1010 - B,1101 - I
,4.0,"(0, 1, 2, 4)","[(60, 241), (194, 251), (146, 240), (135, 227)]",0011 - B,0100 - I,1011 - I,1100 - B
,4.0,"(0, 1, 2, 5)","[(60, 241), (194, 251), (146, 240), (92, 221)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 2, 5, 6)","[(60, 241), (146, 240), (92, 221), (82, 212)]",0110 - B,0011 - B,1100 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(60, 241), (135, 227), (92, 221), (82, 212)]",0110 - B,0011 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(60, 241), (92, 221), (82, 212), (136, 4)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
