PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,10101010,10101100
"(115, 158)",2.0,"(0, 1)","[(115, 158), (138, 160)]",01 - B,01 - B,10 - B,10 - B
"(138, 160)",2.0,"(0, 6)","[(115, 158), (114, 151)]",01 - B,00 - M,11 - M,10 - B
"(214, 148)",2.0,"(0, 7)","[(115, 158), (49, 93)]",01 - B,01 - B,10 - B,10 - B
"(177, 146)",2.0,"(1, 2)","[(138, 160), (214, 148)]",10 - B,10 - B,01 - B,01 - B
"(123, 130)",2.0,"(2, 3)","[(214, 148), (177, 146)]",01 - B,01 - B,10 - B,10 - B
"(119, 134)",2.0,"(2, 7)","[(214, 148), (49, 93)]",01 - B,01 - B,10 - B,10 - B
"(114, 151)",2.0,"(4, 7)","[(123, 130), (49, 93)]",01 - B,01 - B,10 - B,10 - B
"(49, 93)",2.0,"(5, 7)","[(119, 134), (49, 93)]",01 - B,11 - M,00 - M,10 - B
,2.0,"(6, 7)","[(114, 151), (49, 93)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(115, 158), (138, 160), (214, 148)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(115, 158), (138, 160), (114, 151)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(115, 158), (114, 151), (49, 93)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(138, 160), (214, 148), (177, 146)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(214, 148), (177, 146), (123, 130)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(214, 148), (177, 146), (49, 93)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 4, 7)","[(214, 148), (123, 130), (49, 93)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(4, 5, 7)","[(123, 130), (119, 134), (49, 93)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(119, 134), (114, 151), (49, 93)]",011 - I,101 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(115, 158), (138, 160), (214, 148), (177, 146)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(115, 158), (138, 160), (214, 148), (114, 151)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 6)","[(115, 158), (138, 160), (177, 146), (114, 151)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(115, 158), (138, 160), (119, 134), (114, 151)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(115, 158), (138, 160), (114, 151), (49, 93)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(115, 158), (119, 134), (114, 151), (49, 93)]",0011 - B,0101 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
