PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01100011,10011100,10101100
"(8, 71)",2.0,"(0, 1)","[(8, 71), (171, 232)]",01 - B,01 - B,10 - B,10 - B
"(171, 232)",2.0,"(0, 6)","[(8, 71), (85, 73)]",01 - B,01 - B,10 - B,10 - B
"(188, 223)",2.0,"(0, 7)","[(8, 71), (159, 16)]",01 - B,01 - B,10 - B,10 - B
"(247, 240)",2.0,"(1, 2)","[(171, 232), (188, 223)]",10 - B,11 - M,00 - M,01 - B
"(151, 155)",2.0,"(1, 3)","[(171, 232), (247, 240)]",11 - M,10 - B,01 - B,00 - M
"(183, 114)",2.0,"(2, 3)","[(188, 223), (247, 240)]",01 - B,10 - B,01 - B,10 - B
"(85, 73)",2.0,"(3, 5)","[(247, 240), (183, 114)]",10 - B,00 - M,11 - M,01 - B
"(159, 16)",2.0,"(3, 7)","[(247, 240), (159, 16)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(5, 7)","[(183, 114), (159, 16)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(6, 7)","[(85, 73), (159, 16)]",11 - M,11 - M,00 - M,00 - M
,3.0,"(0, 1, 2)","[(8, 71), (171, 232), (188, 223)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 6)","[(8, 71), (171, 232), (85, 73)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(8, 71), (151, 155), (85, 73)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(8, 71), (85, 73), (159, 16)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(1, 2, 3)","[(171, 232), (188, 223), (247, 240)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 3, 5)","[(188, 223), (247, 240), (183, 114)]",010 - I,100 - I,011 - I,101 - I
,3.0,"(3, 5, 7)","[(247, 240), (183, 114), (159, 16)]",101 - I,001 - I,110 - I,010 - I
,3.0,"(5, 6, 7)","[(183, 114), (85, 73), (159, 16)]",011 - I,011 - I,100 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(8, 71), (171, 232), (188, 223), (247, 240)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(8, 71), (171, 232), (188, 223), (151, 155)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 6)","[(8, 71), (171, 232), (188, 223), (85, 73)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 4, 6)","[(8, 71), (171, 232), (151, 155), (85, 73)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(8, 71), (151, 155), (85, 73), (159, 16)]",0011 - B,0011 - B,1100 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(8, 71), (183, 114), (85, 73), (159, 16)]",0011 - B,0011 - B,1100 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
