PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(205, 53)",2.0,"(0, 1)","[(205, 53), (192, 27)]",01 - B,10 - B
"(192, 27)",2.0,"(0, 7)","[(205, 53), (216, 229)]",01 - B,10 - B
"(15, 164)",2.0,"(1, 2)","[(192, 27), (15, 164)]",10 - B,01 - B
"(85, 129)",2.0,"(2, 3)","[(15, 164), (85, 129)]",01 - B,10 - B
"(163, 178)",2.0,"(2, 7)","[(15, 164), (216, 229)]",01 - B,10 - B
"(179, 183)",2.0,"(6, 7)","[(204, 210), (216, 229)]",01 - B,10 - B
"(204, 210)",3.0,"(0, 1, 2)","[(205, 53), (192, 27), (15, 164)]",010 - I,101 - I
"(216, 229)",3.0,"(0, 1, 3)","[(205, 53), (192, 27), (85, 129)]",011 - I,100 - I
,3.0,"(0, 1, 5)","[(205, 53), (192, 27), (179, 183)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(205, 53), (192, 27), (204, 210)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(205, 53), (192, 27), (216, 229)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(205, 53), (204, 210), (216, 229)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(192, 27), (15, 164), (85, 129)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(15, 164), (85, 129), (163, 178)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(15, 164), (85, 129), (216, 229)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(15, 164), (204, 210), (216, 229)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(179, 183), (204, 210), (216, 229)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(205, 53), (192, 27), (15, 164), (85, 129)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(205, 53), (192, 27), (85, 129), (163, 178)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 5)","[(205, 53), (192, 27), (85, 129), (179, 183)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(205, 53), (192, 27), (163, 178), (179, 183)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(205, 53), (192, 27), (179, 183), (204, 210)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(205, 53), (192, 27), (204, 210), (216, 229)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(205, 53), (179, 183), (204, 210), (216, 229)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
