PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(11, 217)",2.0,"(0, 1)","[(11, 217), (38, 228)]",01 - B,01 - B,10 - B,10 - B
"(38, 228)",2.0,"(0, 6)","[(11, 217), (39, 199)]",01 - B,01 - B,10 - B,10 - B
"(244, 173)",2.0,"(0, 7)","[(11, 217), (189, 27)]",01 - B,00 - M,11 - M,10 - B
"(230, 165)",2.0,"(1, 2)","[(38, 228), (244, 173)]",10 - B,10 - B,01 - B,01 - B
"(143, 183)",2.0,"(2, 3)","[(244, 173), (230, 165)]",01 - B,01 - B,10 - B,10 - B
"(103, 180)",2.0,"(2, 7)","[(244, 173), (189, 27)]",01 - B,00 - M,11 - M,10 - B
"(39, 199)",2.0,"(3, 7)","[(230, 165), (189, 27)]",11 - M,10 - B,01 - B,00 - M
"(189, 27)",2.0,"(5, 7)","[(103, 180), (189, 27)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(39, 199), (189, 27)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(11, 217), (38, 228), (244, 173)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(11, 217), (38, 228), (39, 199)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(11, 217), (39, 199), (189, 27)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(38, 228), (244, 173), (230, 165)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(244, 173), (230, 165), (143, 183)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(244, 173), (230, 165), (189, 27)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(3, 5, 7)","[(230, 165), (103, 180), (189, 27)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(103, 180), (39, 199), (189, 27)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(11, 217), (38, 228), (244, 173), (230, 165)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(11, 217), (38, 228), (244, 173), (143, 183)]",0100 - I,0100 - I,1011 - I,1011 - I
,4.0,"(0, 1, 2, 6)","[(11, 217), (38, 228), (244, 173), (39, 199)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(11, 217), (38, 228), (143, 183), (39, 199)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(11, 217), (38, 228), (103, 180), (39, 199)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(11, 217), (38, 228), (39, 199), (189, 27)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(11, 217), (103, 180), (39, 199), (189, 27)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
