PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110101,01100101,10011010,11001010
"(90, 219)",2.0,"(0, 1)","[(90, 219), (231, 110)]",00 - M,01 - B,10 - B,11 - M
"(231, 110)",2.0,"(0, 2)","[(90, 219), (170, 134)]",01 - B,01 - B,10 - B,10 - B
"(170, 134)",2.0,"(0, 6)","[(90, 219), (98, 92)]",00 - M,00 - M,11 - M,11 - M
"(178, 95)",2.0,"(0, 7)","[(90, 219), (25, 37)]",01 - B,01 - B,10 - B,10 - B
"(167, 105)",2.0,"(1, 2)","[(231, 110), (170, 134)]",01 - B,11 - M,00 - M,10 - B
"(152, 109)",2.0,"(1, 3)","[(231, 110), (178, 95)]",01 - B,10 - B,01 - B,10 - B
"(98, 92)",2.0,"(1, 7)","[(231, 110), (25, 37)]",01 - B,11 - M,00 - M,10 - B
"(25, 37)",2.0,"(3, 7)","[(178, 95), (25, 37)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(6, 7)","[(98, 92), (25, 37)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(90, 219), (231, 110), (170, 134)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 2, 5)","[(90, 219), (170, 134), (152, 109)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 2, 6)","[(90, 219), (170, 134), (98, 92)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 6, 7)","[(90, 219), (98, 92), (25, 37)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(231, 110), (170, 134), (178, 95)]",011 - I,110 - I,001 - I,100 - I
,3.0,"(1, 3, 4)","[(231, 110), (178, 95), (167, 105)]",010 - I,100 - I,011 - I,101 - I
,3.0,"(1, 3, 7)","[(231, 110), (178, 95), (25, 37)]",011 - I,101 - I,010 - I,100 - I
,3.0,"(3, 6, 7)","[(178, 95), (98, 92), (25, 37)]",101 - I,001 - I,110 - I,010 - I
,3.0,"(5, 6, 7)","[(152, 109), (98, 92), (25, 37)]",101 - I,101 - I,010 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(90, 219), (231, 110), (170, 134), (178, 95)]",0011 - B,0110 - B,1001 - B,1100 - B
,4.0,"(0, 1, 2, 4)","[(90, 219), (231, 110), (170, 134), (167, 105)]",0010 - I,0110 - B,1001 - B,1101 - I
,4.0,"(0, 1, 2, 5)","[(90, 219), (231, 110), (170, 134), (152, 109)]",0011 - B,0111 - I,1000 - I,1100 - B
,4.0,"(0, 2, 4, 5)","[(90, 219), (170, 134), (167, 105), (152, 109)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 2, 5, 6)","[(90, 219), (170, 134), (152, 109), (98, 92)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 2, 6, 7)","[(90, 219), (170, 134), (98, 92), (25, 37)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(90, 219), (152, 109), (98, 92), (25, 37)]",0101 - B,0101 - B,1010 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
